movie,sentence_count,username,rating,helpful,total,date,title,review,topic,sentiment_score,subjectivity,person_name
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
","It""s a great book and it doesn""t really matter if the actors were changed a bit to reach a bigger group ,",adaptation,3,S,None
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
",but the movie is way overrated .,rating_score,2,S,None
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
","There""s way too less action and Tom Cruise just doesn""t fit in as main character .",action,2,S,Tom Cruise
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
",I guess the author could do a much better job by selecting better qualified actors for those roles instead of finding famous actors .,casting,2,S,None
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
","I think this movie has been overrated by the public and it doesn""t deserve a positive note .",rating_score,2,S,None
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
","Just because the story is a quite unfamiliar story for Hollywood , I""ll give it a 5/10",rating_score,3,S,None
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
","and than I""m still generous .",rating_score,3,S,None
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
",I was surprised how much I enjoyed this interpretation of this great Jack Reacher story .,adaptation,4,S,None
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
","It had a powerful , yet whip smart edge .",emotion,4,S,None
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
","I""d not thought of Reacher that way before ,",character,3,S,None
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
",but it worked really well and I enjoyed the story all the more for this fresh approach .,plot,4,S,None
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
","So the thinking side of the show was a surprise , a pleasant surprise ! Even my wife , who is definitely not a Jack Reacher fan , loved the show .",entertainment,4,S,None
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
","The powerful , yet restrained approach played by Tom Cruise really struck her as fresh and admirable .",performance,4,S,Tom Cruise
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
","Also , he doesn""t just jump into bed with every beautiful woman , even though there""s obvious interest and tension ther",character,3,O,None
Jack Reacher 2012,2,aimcherz,3,0,1,26 April 2018," The last sciens is too idiotic
","This was a good film , except the last sciece .",plot,3,S,None
Jack Reacher 2012,2,aimcherz,3,0,1,26 April 2018," The last sciens is too idiotic
","This fights "" by concepts "" in most idiotic that i ever seen .",action,1,S,None
Jack Reacher 2012,7,reshevsky,2,3,7,26 January 2014," Marginal entertainment
","This movie was so predictable that for me , it took the entertainment out of it .",entertainment,2,S,None
Jack Reacher 2012,7,reshevsky,2,3,7,26 January 2014," Marginal entertainment
","I was really hoping to be proved wrong ,",expectation,3,S,None
Jack Reacher 2012,7,reshevsky,2,3,7,26 January 2014," Marginal entertainment
","but that didn""t happen - no plot twists here .",plot,2,S,None
