movie,sentence_count,username,rating,helpful,total,date,title,review,topic,sentiment_score,subjectivity,person_name
Jack Reacher 2012,5,MovieFlump,7,1,2,22 August 2013," As good as it could have likely been considering the casting choice...
","and Werner Herzog played The Zec very well , I thought .",performance,4,S,Werner Herzog
Jack Reacher 2012,5,MovieFlump,7,1,2,22 August 2013," As good as it could have likely been considering the casting choice...
","I""m not sure who could have played Reacher better - though someone with a better physical description was necessary , really - but it""s clear the film - makers went for the Hollywood option rather than going for a more suitable candidate to play the ex - MP .",casting,2,S,None
Jack Reacher 2012,6,yashrajs536,7,1,2,4 August 2015," A Good Murder Investigation!!!!
","I watched "" Jack Reacher "" last night on my phone",content,3,O,None
Jack Reacher 2012,6,yashrajs536,7,1,2,4 August 2015," A Good Murder Investigation!!!!
","and it Has impressed me with its twists and plot and some action sequences and of course main reason why I watched this ....... "" Tom cruise "" I liked him from Ghost protocol",plot,4,S,Tom Cruise
Jack Reacher 2012,6,yashrajs536,7,1,2,4 August 2015," A Good Murder Investigation!!!!
",and watched and liked his other movies too .,performance,4,S,Tom Cruise
Jack Reacher 2012,6,yashrajs536,7,1,2,4 August 2015," A Good Murder Investigation!!!!
",This film was good seriously it was pretty simple,entertainment,4,S,None
Jack Reacher 2012,6,yashrajs536,7,1,2,4 August 2015," A Good Murder Investigation!!!!
","but a bit awesome and I am also impressed with its director "" Christopher Mcqauire "" .",direction,4,S,Christopher Mcquarrie
Jack Reacher 2012,6,yashrajs536,7,1,2,4 August 2015," A Good Murder Investigation!!!!
",He has driven the movie very good,direction,4,S,None
Jack Reacher 2012,6,yashrajs536,7,1,2,4 August 2015," A Good Murder Investigation!!!!
",and also kept the thriller throughout its whole duration ! ! ! The acting was great by Tom Cruise and the supporting actors were also good the direction was good as I mentioned above and the story and all was good .... Overall a serious entertainment everybody can watch ....,performance,4,S,Tom Cruise
Jack Reacher 2012,6,daveym-649-444962,7,0,0,10 December 2017," Decent Enough Yarn
","I like Lee Child""s books and have read most of them including the one that led to this film - One Shot .",adaptation,3,S,Lee Child
Jack Reacher 2012,6,daveym-649-444962,7,0,0,10 December 2017," Decent Enough Yarn
","All in all , it""s a decent yarn , with plenty of action , the odd improbable conclusion drawn from nowhere and some decent , if not outstanding acting performances .",plot,3,S,None
Jack Reacher 2012,6,daveym-649-444962,7,0,0,10 December 2017," Decent Enough Yarn
",My only problem with the film is that Tom Cruise is such an unlikely - and unbelievable - vigilante / trouble shooter .,character,2,S,Tom Cruise
Jack Reacher 2012,6,daveym-649-444962,7,0,0,10 December 2017," Decent Enough Yarn
","The books give the impression that Reacher is a huge , hard - nosed guy .",character,3,O,None
Jack Reacher 2012,6,daveym-649-444962,7,0,0,10 December 2017," Decent Enough Yarn
","Some of the situations Cruise gets into , and out of , seem a little unlikely to say the least .",plot,2,S,Tom Cruise
Jack Reacher 2012,6,daveym-649-444962,7,0,0,10 December 2017," Decent Enough Yarn
",Still worth a watch though,recommendation,4,S,None
Jack Reacher 2012,7,zumaondeki,7,6,15,16 March 2013," Good old Fashioned Action-Conspiracy
","I run a bit HOT and Cold with some of Tom Cruise""s movies in recent years however I thought he was a good fit for this movie which is basically an action film .",performance,4,S,Tom Cruise
Jack Reacher 2012,7,zumaondeki,7,6,15,16 March 2013," Good old Fashioned Action-Conspiracy
","Tom Cruise may not be everyone""s favorite movie star ,",performance,3,S,Tom Cruise
Jack Reacher 2012,7,zumaondeki,7,6,15,16 March 2013," Good old Fashioned Action-Conspiracy
","but he still manages a presence in this Conspiracy / Action Movie and a couple of comedy moment""s , if you have not seen this movie yet , look for the "" Bathtub "" scene and the "" The Baseball Cap "" ( No Spoiler intended ) For the most part it was a little bit like X - Files,""Trust No One "" as far as the Conspiracy aspect is concerned .",performance,4,S,Tom Cruise
