movie,sentence_count,username,rating,helpful,total,date,title,review,topic,sentiment_score,subjectivity,person_name
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
","Having a brief cameo of the X - Men in the mansion was perfect , the cameo of Brad Pitt which was out of nowhere , some other well known actors such as Terry Crews and Bill Skarsgård were hilarious if only brief .",cameo,4,S,"Brad Pitt, Terry Crews, Bill Skarsgård"
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
","The other easter eggs such as the soundtrack behind Logan""s death is also behind Deadpool""s death were just perfect .",soundtrack,5,S,None
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
","The multiple character references listing from Batman , Thanos , Black Widow , Black Panther , Wolverine .",references,3,O,None
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
",It was all just spot on .,accuracy,5,S,None
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
",The little hints to the director being the one to John Wick and the James Bond type introduction .,direction,3,O,None
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
",It just all had me in pieces .,emotion,4,S,None
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
",The emotion behind the whole of the movie is incredible,emotion,5,S,None
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
","and it just shows that Deadpool is willing to do whatever to stay with Vanessa after her very unexpected death , which may have been reversed in the after credits ? Also , the after credits were perfect .",plot,4,S,None
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
",The time travelling Deadpool to save Peter and Vanessa from dying seemed to be adequate for the storyline however the assassination of Deadpool from X - Men Origins : Wolverine and the assassination of Ryan Reynolds after reading the Green Lantern script had me crying .,plot,4,S,Ryan Reynolds
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
",The little things like this just tied the whole movie together - perfectly .,pacing,5,S,None
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
",Overall I am pleasantly met with my prediction that Deadpool 2 will top the first movie and bring in more laughter and references for us true fans,enjoyment,4,S,None
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
",and those wanting to get into a superhero franchise .,franchise,3,O,None
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
","I genuinely can""t wait to hear future news of whether Deadpool 3 will become a thing .",anticipation,4,S,None
Deadpool 2 2018,28,callumpenzer-79938,9,2,7,25 May 2018," Deadpool 2: Better than the first!
",But until then all I have to say was this was incredible .,opinion,5,S,None
Deadpool 2 2018,18,Fields201,7,1,3,19 May 2018," Untitled Deadpool Sequel
",If only Untitled Deadpool Sequel was the title . If only .,title,3,O,None
Deadpool 2 2018,18,Fields201,7,1,3,19 May 2018," Untitled Deadpool Sequel
","I just got back from seeing Ryan Reynolds "" return as Deadpool and I didn""t expect much ,",cast,3,O,Ryan Reynolds
