movie,sentence_count,username,rating,helpful,total,date,title,review,topic,sentiment_score,subjectivity,person_name
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
","It""s a great book and it doesn""t really matter if the actors were changed a bit to reach a bigger group ,",adaptation,3,S,None
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
",but the movie is way overrated .,criticism,2,S,None
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
","There""s way too less action and Tom Cruise just doesn""t fit in as main character .",action,2,S,Tom Cruise
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
",I guess the author could do a much better job by selecting better qualified actors for those roles instead of finding famous actors .,casting,2,S,None
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
","I think this movie has been overrated by the public and it doesn""t deserve a positive note .",criticism,2,S,None
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
","Just because the story is a quite unfamiliar story for Hollywood , I""ll give it a 5/10",rating_score,3,S,None
Jack Reacher 2012,6,TomvanWoerkom,5,8,17,17 April 2013," Expectations too high
","and than I""m still generous .",rating_score,3,S,None
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
",I was surprised how much I enjoyed this interpretation of this great Jack Reacher story .,adaptation,4,S,None
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
","It had a powerful , yet whip smart edge .",emotion,4,S,None
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
","I""d not thought of Reacher that way before ,",character,3,S,None
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
",but it worked really well and I enjoyed the story all the more for this fresh approach .,plot,4,S,None
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
","So the thinking side of the show was a surprise , a pleasant surprise ! Even my wife , who is definitely not a Jack Reacher fan , loved the show .",entertainment,4,S,None
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
","The powerful , yet restrained approach played by Tom Cruise really struck her as fresh and admirable .",performance,4,S,Tom Cruise
Jack Reacher 2012,7,david-568-421697,9,4,12,30 December 2012," Long time Reacher fan - loved it!
","Also , he doesn""t just jump into bed with every beautiful woman , even though there""s obvious interest and tension ther",character,3,O,None
Jack Reacher 2012,2,aimcherz,3,0,1,26 April 2018," The last sciens is too idiotic
","This was a good film , except the last sciece .",rating_score,3,S,None
Jack Reacher 2012,2,aimcherz,3,0,1,26 April 2018," The last sciens is too idiotic
","This fights "" by concepts "" in most idiotic that i ever seen .",screenplay,1,S,None
Jack Reacher 2012,7,reshevsky,2,3,7,26 January 2014," Marginal entertainment
","This movie was so predictable that for me , it took the entertainment out of it .",entertainment,2,S,None
Jack Reacher 2012,7,reshevsky,2,3,7,26 January 2014," Marginal entertainment
","I was really hoping to be proved wrong ,",expectation,3,S,None
Jack Reacher 2012,7,reshevsky,2,3,7,26 January 2014," Marginal entertainment
","but that didn""t happen - no plot twists here .",plot,2,S,None
Jack Reacher 2012,7,reshevsky,2,3,7,26 January 2014," Marginal entertainment
","The big chase scene was just mailed in , the fights boringly executed and ridiculously staged , making them more funny than a contribution , especially the final big fight that I suspect was not meant to look ridiculous .",action,2,S,None
Jack Reacher 2012,7,reshevsky,2,3,7,26 January 2014," Marginal entertainment
","Really , there is not much to recommend this movie - I wish I had my 130 minutes back .",entertainment,2,S,None
Jack Reacher 2012,7,reshevsky,2,3,7,26 January 2014," Marginal entertainment
","Full disclosure : I""m not really surprised to say that about a Tom Cruise movie , I watched it more to see Duvall""s contribution .",casting,3,S,"Tom Cruise, Duvall"
Jack Reacher 2012,7,reshevsky,2,3,7,26 January 2014," Marginal entertainment
","Unfortunately , his part in the movie was small .",performance,2,S,None
Jack Reacher 2012,7,reshevsky,2,3,7,26 January 2014," Marginal entertainment
","I""ve spent more time than this movie was worth ,",entertainment,2,S,None
Jack Reacher 2012,7,reshevsky,2,3,7,26 January 2014," Marginal entertainment
",but I wanted to give people fair warning .,recommendation,3,S,None
Jack Reacher 2012,5,ethandbird,9,0,0,4 October 2018," Much better than I expected
","I""m not a fan of Tom Cruise generally , and I wasn""t planning on seeing this film .",casting,2,S,Tom Cruise
Jack Reacher 2012,5,ethandbird,9,0,0,4 October 2018," Much better than I expected
","However , when I finally did see it , I was actually quite impressed ! Tom Cruise""s acting is much better in this than some other roles I""ve seen him in .",performance,4,S,Tom Cruise
Jack Reacher 2012,5,ethandbird,9,0,0,4 October 2018," Much better than I expected
","The film in general is really well done ,",quality,4,S,None
Jack Reacher 2012,5,ethandbird,9,0,0,4 October 2018," Much better than I expected
",and a face - paced thriller that is sure to keep you interested to the end ! I would highly recommend .,pacing,4,S,None
Jack Reacher 2012,6,phil_kearney-586-770402,8,0,0,24 May 2015," Jack Reacher _ Americanised
",I am a fan of the Jack Reacher Novels,content,3,S,None
Jack Reacher 2012,6,phil_kearney-586-770402,8,0,0,24 May 2015," Jack Reacher _ Americanised
",and have read 19 or more so i looked forward to the film .,expectation,3,S,None
Jack Reacher 2012,6,phil_kearney-586-770402,8,0,0,24 May 2015," Jack Reacher _ Americanised
","It wasn""t particularly true to Reacher although Tom Cruise rarely disappoints",casting,2,S,Tom Cruise
Jack Reacher 2012,6,phil_kearney-586-770402,8,0,0,24 May 2015," Jack Reacher _ Americanised
",and made a good fist of the character .,performance,4,S,None
Jack Reacher 2012,6,phil_kearney-586-770402,8,0,0,24 May 2015," Jack Reacher _ Americanised
",The research and detail within the books was carried through to the film in the most part,accuracy,3,S,None
Jack Reacher 2012,6,phil_kearney-586-770402,8,0,0,24 May 2015," Jack Reacher _ Americanised
","and i would like to see many more of the series because they are all pretty good story""s .",plot,4,S,None
Jack Reacher 2012,6,phil_kearney-586-770402,8,0,0,24 May 2015," Jack Reacher _ Americanised
","( I have never read a bad one ) In fact they have to be read in a few days rather than over a period as you can""t let go ) .",plot,4,S,None
Jack Reacher 2012,6,phil_kearney-586-770402,8,0,0,24 May 2015," Jack Reacher _ Americanised
",James Bond has become a little tongue in cheek now,genre,3,S,None
Jack Reacher 2012,6,phil_kearney-586-770402,8,0,0,24 May 2015," Jack Reacher _ Americanised
",and Reacher is more grounded The next film needs to be longer because Reacher books are more complex than most vigilante type tales and sub plots twist,plot,3,S,None
Jack Reacher 2012,6,phil_kearney-586-770402,8,0,0,24 May 2015," Jack Reacher _ Americanised
",and turn alongside the main stories .,plot,3,O,None
Jack Reacher 2012,6,phil_kearney-586-770402,8,0,0,24 May 2015," Jack Reacher _ Americanised
",Looking forward to the next one,expectation,4,S,None
Jack Reacher 2012,3,lefteriszoulis,4,1,8,4 May 2013," Worst Cruise's film (by far)
","I""ll try to prevent some people lose 2 hours of their lives to watch this film .",entertainment,2,S,None
Jack Reacher 2012,3,lefteriszoulis,4,1,8,4 May 2013," Worst Cruise's film (by far)
","I know what most will think""""Come on , Tom Cruise , action movie , interesting trailer , good cast , 7 IMDb rating , even it""s not a 7 , how bad can it be ? "" "" .",expectation,3,S,Tom Cruise
Jack Reacher 2012,3,lefteriszoulis,4,1,8,4 May 2013," Worst Cruise's film (by far)
","I tell you this , i rated this movie by 4",rating_score,4,S,None
Jack Reacher 2012,3,lefteriszoulis,4,1,8,4 May 2013," Worst Cruise's film (by far)
","and i was very lenient giving this rate , the film it""s probably a 3 .",rating_score,3,S,None
Jack Reacher 2012,3,lefteriszoulis,4,1,8,4 May 2013," Worst Cruise's film (by far)
","Poor acting(even Tom Cruise looks hypnotized ) , poor script and plot(some lines r really ridiculous and all the time you see things that u already know that will happen",performance,2,S,Tom Cruise
Jack Reacher 2012,3,lefteriszoulis,4,1,8,4 May 2013," Worst Cruise's film (by far)
",and you just wait ... And wait ..,pacing,2,S,None
Jack Reacher 2012,3,lefteriszoulis,4,1,8,4 May 2013," Worst Cruise's film (by far)
","And wait ... Surprise me man , it""s an action movie ) .",genre,3,S,None
Jack Reacher 2012,3,lefteriszoulis,4,1,8,4 May 2013," Worst Cruise's film (by far)
","I could sit down and write a bunch of reasons why this film is awful(and i mean it , literally , a bunch )",criticism,2,S,None
Jack Reacher 2012,3,lefteriszoulis,4,1,8,4 May 2013," Worst Cruise's film (by far)
",but i already lost 2 hours watching it,entertainment,2,S,None
