movie,sentence_count,username,rating,helpful,total,date,title,review,topic,sentiment_score,subjectivity,person_name
Jack Reacher 2012,10,Bruce722,9,93,123,11 May 2013," Great film.
","I wasn""t a huge fan of some of the cinematic elements and there were some flaws in one of the plot twists but nothing that really hurt the movie - watching experience .",cinematography,2,S,None
Jack Reacher 2012,10,Bruce722,9,93,123,11 May 2013," Great film.
","All - in - all , I""d say this was a great movie that most people would very much enjoy watching .",entertainment,5,S,None
Jack Reacher 2012,12,carbuff,6,0,1,12 May 2015," Tom Cruise doing what he does best, which isn't exactly subtle or brilliant.
","It""s just a popcorn flick .",genre,3,O,None
Jack Reacher 2012,12,carbuff,6,0,1,12 May 2015," Tom Cruise doing what he does best, which isn't exactly subtle or brilliant.
","You want a normal Hollywood popcorn flick , this will do .",genre,3,O,None
Jack Reacher 2012,12,carbuff,6,0,1,12 May 2015," Tom Cruise doing what he does best, which isn't exactly subtle or brilliant.
","No real thought is involved -- some people get hurt , some get killed , and some stuff gets blown up .",plot,2,S,None
Jack Reacher 2012,12,carbuff,6,0,1,12 May 2015," Tom Cruise doing what he does best, which isn't exactly subtle or brilliant.
","You""d have to be in an altered state of consciousness to get any real deep meaning out of this film .",theme,2,S,None
Jack Reacher 2012,12,carbuff,6,0,1,12 May 2015," Tom Cruise doing what he does best, which isn't exactly subtle or brilliant.
","It""s basically just a male fantasy about being hyper - competent .",theme,2,S,None
Jack Reacher 2012,12,carbuff,6,0,1,12 May 2015," Tom Cruise doing what he does best, which isn't exactly subtle or brilliant.
","When Jack Reacher gives his Tom Cruise - style rant about how much everybody would really live like him if they could ,",performance,3,O,Tom Cruise
Jack Reacher 2012,12,carbuff,6,0,1,12 May 2015," Tom Cruise doing what he does best, which isn't exactly subtle or brilliant.
","and you think about it for a second , you wonder how anybody could be so dumb as to suggest that or write that particular line of script .",screenplay,2,S,None
Jack Reacher 2012,12,carbuff,6,0,1,12 May 2015," Tom Cruise doing what he does best, which isn't exactly subtle or brilliant.
","Yeah , I""d just love to be roaming the country on buses ( I have a little bit of experience here",emotion,3,S,None
Jack Reacher 2012,12,carbuff,6,0,1,12 May 2015," Tom Cruise doing what he does best, which isn't exactly subtle or brilliant.
",and I am sure it has not gotten that much better ) with a single t- shirt to my name . Great . Sign me up .,entertainment,2,S,None
Jack Reacher 2012,12,carbuff,6,0,1,12 May 2015," Tom Cruise doing what he does best, which isn't exactly subtle or brilliant.
","Still , if you were trying to preserve neurons , you obviously wouldn""t be watching this .",audience,2,S,None
Jack Reacher 2012,12,carbuff,6,0,1,12 May 2015," Tom Cruise doing what he does best, which isn't exactly subtle or brilliant.
","You don""t consume a milkshake with whipped cream and a cherry on top in order to drop pounds .",theme,3,O,None
