username,rating,helpful,total,date,title,review,topic,sentiment_score,subjectivity,person_name
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
",It was made with a modest budget of $ 23 m it grossed a nice sum of $ 53 m in the US .,commercial_context,3,O,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","It was in the UK , however , where the film really shone , up against the massive epic Gladiator at the time the movie managed to gross a none too bad £ 11 m but what made it better was it was a true sleeper hit , it spent 14 weeks in the UK film charts .",commercial_context,4,S,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","With no big name actors , and no major publicity the film did so well because of word of mouth and the word was it was damn good .",commercial_context,4,S,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
",I admit I was sceptical at first in reading about Final Destination .,expectation,3,S,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","It seemed like a tired teen horror movie that seemed to be spewing out of America at that time , indeed it was only until about 3 weeks in to it being released that I actually lifted my bum off my sofa",expectation,2,S,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
",and put my bum on the seat in front of the big screen to actually watch the movie .,viewing_experience,3,S,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","I loved it , and it was made better by the low expectations I had of it . It isn""t groundbreaking",viewing_experience,4,S,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","but it is effectively chilly at times , the acting is surprisingly good",acting_performance,4,S,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
",and the plot is pretty fresh .,story_plot,4,S,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","James Wong ( X Files ) came up with the idea of the movie , about cheating death ,",story_plot,3,O,James Wong
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
",and it does seem to have a kind of X Files ring to it .,genre_style,3,O,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
",The story goes as follows .,story_plot,3,O,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","Alex ( Devon Sawa ) is off , with his classmates , to France .",story_plot,3,O,Devon Sawa
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","Now being in America France is like our version ofAmerica , so it""s a pretty big deal .",story_plot,3,O,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","While on the plane he has a premonition of the plane exploding , slightly scared , he wakes up",story_plot,3,O,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
",and finds that some of his premonition turns out real .,story_plot,3,O,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","Scared for his life , and the others on the plane , he cause a fuss which sees him and several other classmates chucked off the plane .",story_plot,3,O,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","Some of his companions are none too pleaseduntil they see Flight 180 blow up , killing everyone on the plane .",story_plot,3,O,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
",Thus begins the cat and mouse chase by Death himself .,story_plot,3,O,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","One by one , in seemingly accidental "" ways , the survivors of the ill - fated crash are dying .",story_plot,3,O,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","While others dismiss the idea of Death coming for revenge , Alex isn""t going to let it go",story_plot,3,O,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
",and soon he convinces friend Clear ( Ali Larter ) that it is up to them to try and stop Death himself .,story_plot,3,O,Ali Larter
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
",As this happens we can witness some of the most imaginative death scenes ever .,technical_visuals,5,S,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","Thanks to the movie not having a masked killer doing the rounds the death scenes are not limited to the knife in back / stomach / head / eye "" routine .",story_plot,4,S,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","Indeed , the first death scene is both funny and horrific all in one because , like with many of the deaths in this movie , it can really seem as that can actually happen .",story_plot,4,S,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
",It gives you something to think about .,themes_messages,3,O,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","The special effects , for a movie with as small as budget as this , are excellent ( apparently they did actually spend half of their budget in the SFX ) .",technical_visuals,4,S,None
3rdRockSatan,Null,79,95,4 November 2001," Death Becomes You
","The plane crash is one of the most realistic you will see , its worrying to watch .",technical_visuals,4,S,None
