username,rating,helpful,total,date,title,review,topic,sentiment_score,subjectivity,person_name
Aaron_Kyle,9,330,384,13 July 2019," Made me feel like I'm in la-la land
","It""s nostalgia , meticulousness and joy captured my heart",emotion,5,S,None
Aaron_Kyle,9,330,384,13 July 2019," Made me feel like I'm in la-la land
",and earned itself the title of one of the best musicals of all time .,recommendation,5,S,None
Aaron_Kyle,9,330,384,13 July 2019," Made me feel like I'm in la-la land
",Almost every aspect of La La Land is close to perfect making this not only one of the best movies in recent history,recommendation,5,S,None
Aaron_Kyle,9,330,384,13 July 2019," Made me feel like I'm in la-la land
",but also one of the best looking films and a very memorable cinematic experience .,viewing_experience,5,S,None
Aaron_Kyle,9,330,384,13 July 2019," Made me feel like I'm in la-la land
","The cinematography is lively with phenomenal long takes , different location and gorgeous colours thanks to the production design .",artistic_design,5,S,None
Aaron_Kyle,9,330,384,13 July 2019," Made me feel like I'm in la-la land
",Ryan Gosling and Emma Stone make a wonderful musical duo with serious chemistry as if the roles were made for them .,acting_performance,5,S,"Ryan Gosling, Emma Stone"
Aaron_Kyle,9,330,384,13 July 2019," Made me feel like I'm in la-la land
",The music feels alive at any moment,audio_music,5,S,None
Aaron_Kyle,9,330,384,13 July 2019," Made me feel like I'm in la-la land
",and the sound track is definitely consistent .,audio_music,4,S,None
Aaron_Kyle,9,330,384,13 July 2019," Made me feel like I'm in la-la land
","After Whiplash , the stakes were high for Damien Chazelle and La La Land undoubtedly lands him a spot on Hollywood""s best directors .",filmmaking_direction,5,S,Damien Chazelle
Aaron_Kyle,9,330,384,13 July 2019," Made me feel like I'm in la-la land
","Pulling of two films of the same genre and making both of them seem unique and originally is no easy thing to do and writing a film can be agonising so Damien Chazelle deserves all the praise he""s getting .",filmmaking_direction,5,S,Damien Chazelle
Aaron_Kyle,9,330,384,13 July 2019," Made me feel like I'm in la-la land
",La La Land is a genre defying masterpiece which I would recommend to anyone a fan of musicals or not .,recommendation,5,S,None
Aaron_Kyle,9,330,384,13 July 2019," Made me feel like I'm in la-la land
","It""s colourful joyfulness is a sight to see . Final Score : 9+/10",artistic_design,5,S,None
wgerhardt,10,70,87,10 August 2019," A true ode to the Golden Era of Hollywood
",The vibrant colors and use of musical scores to set the mood for scenes transported myself back in time .,audio_music,5,S,None
wgerhardt,10,70,87,10 August 2019," A true ode to the Golden Era of Hollywood
","This movie feels not only like a beautifully nostalgic nod to Hollywood of yesteryear , but also that of a timeless love story .",themes_messages,4,S,None
wgerhardt,10,70,87,10 August 2019," A true ode to the Golden Era of Hollywood
",Gosling and Stone have a charm to their chemistry on screen during the musical and dance numbers .,acting_performance,4,S,"Gosling, Stone"
wgerhardt,10,70,87,10 August 2019," A true ode to the Golden Era of Hollywood
","All these aspects lead to a raw portrayal of love that many experience in life , with still providing a sense of hope and wonder to the viewers .",themes_messages,4,S,None
wgerhardt,10,70,87,10 August 2019," A true ode to the Golden Era of Hollywood
",I was entranced from the opening scene until the final note played by Goslings piano .,viewing_experience,5,S,Gosling
wgerhardt,10,70,87,10 August 2019," A true ode to the Golden Era of Hollywood
",I absolutely recommend this film to any and everyone !,recommendation,5,S,None
CalRhys,Null,244,340,18 January 2017," Nostalgic, Colourful, Joyous CinemaScope Magic
",Do I like musicals ? Not really ...,emotion,2,S,None
CalRhys,Null,244,340,18 January 2017," Nostalgic, Colourful, Joyous CinemaScope Magic
","But damn , "" La La Land "" is a nostalgic , colourful , joyful marvel ! Damien Chazelle gained international acclaim and recognition from his masterful drama "" Whiplash "" , what were the chances that he could pull off similar success two times in the row ? Well , if "" La La Land "" is anything to go by , then I""d say he did the job .",filmmaking_direction,4,S,Damien Chazelle
CalRhys,Null,244,340,18 January 2017," Nostalgic, Colourful, Joyous CinemaScope Magic
","With just three films under his belt as of 2016 , Chazelle is slowly becoming the next big thing this movie industry has seen .",filmmaking_direction,4,S,Chazelle
CalRhys,Null,244,340,18 January 2017," Nostalgic, Colourful, Joyous CinemaScope Magic
",His passion for classic movies and musicals is evident as he references,filmmaking_direction,3,O,None
CalRhys,Null,244,340,18 January 2017," Nostalgic, Colourful, Joyous CinemaScope Magic
","and pulls influence from films like "" Singin "" in the Rain "" , "" The Umbrellas of Cherborg "" and even "" Rebel Without a Cause "" , the latter of which is one of my favourite films so seeing the nod to it was something I was pleased about .",comparative_analysis,4,S,None
CalRhys,Null,244,340,18 January 2017," Nostalgic, Colourful, Joyous CinemaScope Magic
","The chemistry between Gosling and Stone is strong to say the least , after two previous collaborations , their already - strong bond helped them become one of modern - day cinema""s finest couples .",acting_performance,5,S,"Gosling, Stone"
CalRhys,Null,244,340,18 January 2017," Nostalgic, Colourful, Joyous CinemaScope Magic
","The music is bouncy and toe - tapping catchy , the cinematography is utterly stunning with gorgeous colours and impressive long takes ,",audio_music,5,S,None
CalRhys,Null,244,340,18 January 2017," Nostalgic, Colourful, Joyous CinemaScope Magic
",and the locations sum up the American dream and the passion the characters hold for Los Angeles .,artistic_design,4,S,None
CalRhys,Null,244,340,18 January 2017," Nostalgic, Colourful, Joyous CinemaScope Magic
",""" La La Land "" is by far one of the finest cinema experiences I have had in the past 5 - 10 years ,",viewing_experience,5,S,None
CalRhys,Null,244,340,18 January 2017," Nostalgic, Colourful, Joyous CinemaScope Magic
","and although this isn""t a film I would typically enjoy ( genre - wise ) , Chazelle has instead crafted one of my favourite films of this decade .",genre_style,5,S,Chazelle
CalRhys,Null,244,340,18 January 2017," Nostalgic, Colourful, Joyous CinemaScope Magic
",A film I would recommend everyone see in the cinema to truly witness the CinemaScope magic .,recommendation,5,S,None
elijahz,9,19,22,27 November 2019," Shocked me how good it was
","I remember when I saw the trailers for this movie , I thought it would be a sad but sweet love story and nothing more .",expectation,3,S,None
elijahz,9,19,22,27 November 2019," Shocked me how good it was
",And while it is that it brings so much more flare and beauty that I would never have expected from this .,artistic_design,4,S,None
elijahz,9,19,22,27 November 2019," Shocked me how good it was
",It took me three years to see it,viewing_experience,3,O,None
elijahz,9,19,22,27 November 2019," Shocked me how good it was
",and it far out shone any expectation I had .,expectation,5,S,None
lvanderwindt,8,7,7,24 April 2020," Great Actors!!
",I thought it was a great movie .,viewing_experience,4,S,None
lvanderwindt,8,7,7,24 April 2020," Great Actors!!
",The plot did start out a bit laborious,story_plot,2,S,None
lvanderwindt,8,7,7,24 April 2020," Great Actors!!
",but it got better throughout .,story_plot,4,S,None
lvanderwindt,8,7,7,24 April 2020," Great Actors!!
","I had the feeling that there wasn""t really a storyline in the beginning .",story_plot,2,S,None
lvanderwindt,8,7,7,24 April 2020," Great Actors!!
","But i""m glad I sat it out to see the rest of the movie because it was worth it .",recommendation,4,S,None
lvanderwindt,8,7,7,24 April 2020," Great Actors!!
","Obviously Ryan Gosling and Emma Stone are so well played together , because they did two other movies together before this one .",acting_performance,5,S,"Ryan Gosling, Emma Stone"
lvanderwindt,8,7,7,24 April 2020," Great Actors!!
","The music is obviously amazing , I just got new earbuds so it was even better haha .",audio_music,5,S,None
lvanderwindt,8,7,7,24 April 2020," Great Actors!!
","I really love how the characters kinda "" flow "" with the music while their bodies move with the music , right on "" beat "" every time .",character_development,4,S,None
lvanderwindt,8,7,7,24 April 2020," Great Actors!!
","So even though the "" musical movie "" genre is not my thing i still loved it .",genre_style,4,S,None
CubsandCulture,10,10,11,24 March 2020," An all time classic musical
","This is like a great 50""s MGM musical was made in 2016",comparative_analysis,4,S,None
CubsandCulture,10,10,11,24 March 2020," An all time classic musical
",and I simply can not understand how anyone would dislike the film .,viewing_experience,3,S,None
