username,rating,helpful,total,date,title,review,topic,sentiment_score,subjectivity,person_name
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
","One such birthday Andy""s top toy , Woody the cowboy , finds himself in direct competition with Andy""s new Buzz Lightyear doll .",story_plot,3,O,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",When rivalries boil over Woody tries to hide Buzz down the side of the bed,story_plot,3,O,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
","but accidentally pushes him out the window , the other tops expel Woody ,",story_plot,3,O,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",and he leaves with no choice but to find Buzz and return him to the house .,story_plot,3,O,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
","But with only two days before Andy moves house , time is of the essence .",story_plot,3,O,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
","Given how often the same mix of animation , wit , jokes and kids humour has been used since Toy Story ( Ice Age , Monsters Inc , Bugs Life ) it is easy to forget how refreshing it was when it first came out .",comparative_analysis,3,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",I have just watched it again and it is dating a little in comparison to more recent twists on the formula .,comparative_analysis,3,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",It seems each one has to be sharper and have more references etc in the background .,comparative_analysis,3,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",However it is still very funny and deserves praise for being the first of a successful formula .,viewing_experience,4,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",The plot is simple but effective and actually has genuine drama and excitement to it .,story_plot,4,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",The main story is fun,story_plot,4,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",but the degree of character development is what really shores it up .,character_development,4,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",The conflict between Buzz and Woody is taken deeper than this,story_plot,3,O,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
","and , when confronted by the truth of his status as a toy , Buzz""s turmoil is very real as opposed to him being a cartoon character and nothing more .",character_development,4,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",Despite the two strong leads there is a real depth in the support cast .,character_development,4,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
","They may not actually have that many lines ,",writing_dialogue,3,O,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",but they have all the funniest lines .,writing_dialogue,4,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
","Most of the ` adult "" wit comes from the Potato Head , dinosaur , the pig and slinky dog .",writing_dialogue,3,O,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",They are funny and are very well used .,acting_performance,4,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",In fact the majority of this humour and plot will go right over kids heads .,story_plot,3,O,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
","Looking back on it , I do feel a cynical edge on it in so much as this film must really have helped sales of the toy companies in the film .",commercial_context,3,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
","It""s hard not to see the marketing department standing behind this film rubbing their hands .",commercial_context,3,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",However the actual product is so wonderfully fun that I forgot this quickly .,viewing_experience,4,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",The voice work is excellent and the characters match the actors .,acting_performance,5,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",Hanks is good as Woody and Allen has a good B - movie type voice for Buzz .,acting_performance,4,S,"Hanks, Allen"
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
","Varney , Ratzenberger , Ermey ( doing his usual ) , Rickles and others are all really good in the support roles",acting_performance,4,S,"Varney, Ratzenberger, Ermey, Rickles"
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
","and , probably , come out as the favourite characters for adults .",character_development,4,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",Overall this is a classic film that will appeal to adults as much as to kids ( if not more ) .,viewing_experience,5,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",A good plot and a really sharp script make the already short running time fly by .,writing_dialogue,4,S,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",The only downside is that your kids will want you to go out,story_plot,3,O,None
bob the moo,Null,107,113,22 April 2003," Technically impressive with great script and sharp wit
",and buy the damn things !,recommendation,3,O,None
philip_vanderveken,9,141,156,25 December 2004," Created a decade ago, but still stunning
",I am a big fan of the animated movies coming from the Pixar Studios .,commercial_context,4,S,None
philip_vanderveken,9,141,156,25 December 2004," Created a decade ago, but still stunning
","They are always looking for the newest technological possibilities to use in their movies , creating movies that are more than just worth a watch , even when they were made a decade ago .",technical_visuals,4,S,None
philip_vanderveken,9,141,156,25 December 2004," Created a decade ago, but still stunning
",The movie is about toys that come to life when their owner is asleep or not in the same room .,story_plot,3,O,None
philip_vanderveken,9,141,156,25 December 2004," Created a decade ago, but still stunning
","When the young boy""s birthday is coming up , all the toys are nervous .",story_plot,3,O,None
philip_vanderveken,9,141,156,25 December 2004," Created a decade ago, but still stunning
","They don""t want to be ignored when the new one arrives .",story_plot,3,O,None
