username,rating,helpful,total,date,title,review,topic,sentiment_score,subjectivity,person_name
MR_Heraclius,10,52,61,23 February 2020," Awesome movie, watched it multiple times
",""" Scorcese""s fantastic storytelling ability mixed with phenomenal acting from DiCaprio , Hill and the rest of the cast makes for an awesome combination .",acting_performance,5,S,"Martin Scorsese, Leonardo DiCaprio, Jonah Hill"
MR_Heraclius,10,52,61,23 February 2020," Awesome movie, watched it multiple times
",The film is never boring and gives you a glimpse into the life of a man who had everything in the world only to have it taken away .,story_plot,4,S,None
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","In the mid-1990s , Jordan Belfort ( Leonardo DiCaprio ) and the rest of his associates from brokerage firm Stratton Oakmont became the very definition of excess and debauchery , their offices a boiler room fueled by cocaine and greed .",story_plot,3,O,Leonardo DiCaprio
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","High pressure sales tactic and less - than - legal behind - the - scenes manipulation bred plenty of twenty - something millionaires ,",story_plot,3,O,None
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
",and Belfort built himself an empire at the top of the heap .,story_plot,3,O,None
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","His rise and fall is chronicled in The Wolf of Wall Street , based on the memoir of the same name .",story_plot,3,O,None
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","Under most circumstances , the actions of Belfort and his cronies ( including Jonah Hill in a howlingly funny turn as Belfort""s business partner ) would be viewed as disgustingly abhorrent , but Martin Scorsese frames this tale of greed with a comedic lens that allows us to laugh at things we probably shouldn""t find humorous .",filmmaking_direction,4,S,"Martin Scorsese, Jonah Hill"
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","Whether it""s a clumsy attempt at fisticuffs between two characters overdosing on Quaaludes , or the categorization of prostitutes using stock market terminology ( "" blue chip "" hookers make you wear a condom",story_plot,3,O,None
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","and typically accept credit cards ) , the film is outrageous from start to finish ,",story_plot,4,S,None
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
",and rarely falters in its quest to entertain the audience for three hours .,viewing_experience,4,S,None
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","Belfort manages to delude himself and his pals into thinking they can live like this forever ,",story_plot,3,O,None
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","but the audience knows better , and Belfort""s eventual comeuppance is hardly surprising .",story_plot,3,O,None
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","But the path is paved with hilarity , especially in a scene aboard the mogul""s luxury yacht , where he surreptitiously offers a pair of FBI agents everything from booze to girls to cold hard cash in exchange for their silence .",story_plot,4,S,None
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","And let""s not forget his punishment for drunkenly piloting a helicopter into the backyard of his estate at 3 am , raising the ire of his trophy wife ( Margot Robbie ) .",story_plot,4,S,Margot Robbie
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","Scorsese has always managed to elicit astounding performances from his actors ,",directing,5,S,Martin Scorsese
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","and his fifth collaboration with Leonardo DiCaprio results in one of the most charismatic , despicable , offensive and captivating characters to ever appear on screen .",acting_performance,5,S,Leonardo DiCaprio
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","As financial bad boy Belfort , DiCaprio swaggers from scene to scene ingesting eye - popping amounts of narcotics , groping and fondling nearly every female within reach ,",character_development,4,S,Leonardo DiCaprio
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
",and spouting more profanity in three hours than an entire season of The Sopranos .,writing_dialogue,4,S,None
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","Belfort is the kind of person that any sane person would detest in real life ,",character_development,3,O,None
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","but thanks to Scorses and DiCaprio , we can""t take our eyes off him .",acting_performance,5,S,"Martin Scorsese, Leonardo DiCaprio"
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","-- Brent Hankins , www . Nerdrep . Com",commercial_context,3,O,Brent Hankins
notoriousCASK,9,29,36,24 October 2018," ""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""
","It""s no surprise that Scorsese is associated with the gangster genre with films such as The Departed , Goodfellas and Casino , of which the last two are possibly the best pure examples of the genre .",commercial_context,3,O,Martin Scorsese
notoriousCASK,9,29,36,24 October 2018," ""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""
",In Goodfellas the gangsters are dangerous,story_plot,3,O,None
notoriousCASK,9,29,36,24 October 2018," ""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""
","but they operate on a more underground level , in Casino they practically run a major city",story_plot,3,O,None
notoriousCASK,9,29,36,24 October 2018," ""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""
",and can do whatever they like .,story_plot,3,O,None
