username,rating,helpful,total,date,title,review
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
","Oh , come on , IMDb users ."
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
",How could this film get only a 6 .
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
","5 ? Yes , it""s a kid""s movie ,"
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
",but I know plenty of adults(not including myself ) who loved this film .
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
","It touches our hearts , and tickles our funny bones ."
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
",Not to mention I think in one way or another we could relate to it .
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
","That""s why it remains a classic Christmas comedy ."
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
","Home Alone is not only one of the highest box office successes of all time ,"
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
",but it deserves more praise .
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
",Mac showed a talent that very little child stars have now - a - days .
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
",He brought in a great comedy about a boy who accidentally is left home alone when his family goes on vacation
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
",and takes on two burglars .
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
","Yeah , it""s quit unrealistic about the burglars ,"
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
","but honestly , this is a terrific family film ."
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
","Joe Pesci and Daniel Stern are the perfect comedy duo of two idiots who can""t rob the place because a 8 year old child has out witted them"
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
",and set some clever and very funny traps around the house .
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
","Please give this movie a chance , it""s just terrific"
Smells_Like_Cheese,10,399,445,23 November 2003," A timeless classic
",and I guarantee nothing but great laughs for you and the whole family . 10/10
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","Home Alone ( 1990 ) Rating : 8/10 It might be dumb and corny , but I""ve actually liked this highly entertaining flick ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","The plot""s unbelievable ,"
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","but who cares : it""s funny ! Macaulay Culkin plays 8 year - old Kevin , a misunderstood kid who lives in a big ass house with his family ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","They""re about to leave for Paris , where they""re gon na spend Christmas ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","About 20 people are running around the house , frenetically preparing for the trip ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","Kevin""s mad at everyone , because no one pays attention to him , unless it""s to yell at him ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","Hence , Kevin goes to sleep wishing that his whole family would disappear ,"
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","and the next morning , they do ! The thing is that they somehow woke up late , left home in a hurry , and hey , they forget Lil Kev ! At first , he""s happy as a monkey ,"
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","but after a while , things get messy ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","Two dumbass robbers are planning to rob his house ,"
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","but Kev ain""t gon na let them ! Okay , I know , this is one stupid story ,"
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","but it""s developed into a wonderful family film , as enjoyable as it is warmhearted ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
",Mac Culkin is awesome in the lead .
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","He really carries the film : he""s got style , he""s funny and he""s even a good actor ! Too bad his personal life screwed up , because he had the talent to become a grown - up movie star ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","The idiotic criminals are also really cool , because they cast good actors instead of some Ernest - style lame - o over - actors ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","Oscar - winner Joe Pesci and Daniel Stern ( the narrator on The Wonder Years ) are hilarious ,"
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
",but they also bring a bit more depth to what could have been cardboard characters .
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","Pesci plays an aggressive thug , and anyone who""s seen him in a Scorsese film knows how good he is at it ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","Stern plays a total dufus , and he""s also really convincing at it ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","The film""s humor might seem dumb ,"
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","but hey , it""s funny ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","John Hughes "" screenplay has Kevin protecting his home by turning the thieves into human Wile E. Coyotes ,"
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","and like the cartoon , it made me laugh ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","The gags might be old ,"
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","but they""re played with inventiveness , and the acting is always right ."
Twizm,8,119,138,1 May 2002," Funny and highly entertaining.
","I just love this film , and you will too if you look beyond the fact that it""s a family film ."
MovieAddict2016,10,141,172,18 February 2003," Heartwarming Holiday family classic.
",""" Home Alone "" has succeeded in establishing itself as a Christmas tradition , spawning off three sequels ( including a made - for - television flop ) , and a whole franchise in and of it ."
MovieAddict2016,10,141,172,18 February 2003," Heartwarming Holiday family classic.
","Macaulay Culkin plays Kevin McCallister , the average American child ."
MovieAddict2016,10,141,172,18 February 2003," Heartwarming Holiday family classic.
",He has an attitude almost expected of a Chris Columbus film from the eighties .
