username,rating,helpful,total,date,title,review
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","To start off with , I heard a lot of good things about this movie when it was on the big screens"
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
",but never got around to see it before it disappeared .
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","Sitting here , long after in the aftermath , I might never forgive myself for missing that opportunity ."
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","Eventually I did get around to see it , though a small TV never does a film the same justice a theater does ,"
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","and being a bit sceptic about the small hype this movie caused made me prejudice about it ,"
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
",but I must say I have never been so wrong before .
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
",And I am happy saying it .
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","This movies biggest crime , and yet its biggest asset , is that it is in French ."
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","Subtitles just does not bring full justice to a movie like this ,"
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","and it is bound to scare off most of the audience not used to subtitled movies . Sad to say so ,"
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
",but I believe it is the truth .
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","I do not know any French at all ,"
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","but I sure wish I was fluent watching this movie ! Compared to most other films "" Amelie "" ("
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","and I will stick to "" Amelie "" since "" Le Fabuleux destin d""Amélie Poulain "" is a bit long to write ) is based on a rather ordinary and plain story everyone can relate to ,"
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","but it is given to us in a very special kind of way , mixed with wonderful little subplots and an almost chaotic amount of details ."
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","We get to see and experience the world and especially Paris through the filtering eyes and fantasy of Amelie , A Paris that might feel small and limited on the screen"
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
",but in fact is just as big as it is in the eyes of Amelie .
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","Director Jean - Pierre Jeunet brings to life the world of Amelie with colors , masterful camerawork and a few special effects ( Well , I have certainly felt like melting a couple of times too in my life ! ) ."
