movie_title,title,review,rating,helpful,total,date,topic,sentiment_score,subjectivity,person_name
Requiem for a Dream," Not as bad as Pearl Harbour
",but just as poorly acted .,1,7,19,25 July 2001,acting_performance,1,S,None
Requiem for a Dream," Not as bad as Pearl Harbour
","Music was bad , audio was bad .",1,7,19,25 July 2001,audio_music,1,S,None
Requiem for a Dream," Not as bad as Pearl Harbour
",Very strong sexual scenarios .,1,7,19,25 July 2001,themes_messages,3,O,None
Requiem for a Dream," Not as bad as Pearl Harbour
","The audio was so bad on this ( I rented it as a pay per view ) that even cranking my tv set up full blast ,",1,7,19,25 July 2001,audio_music,1,S,None
Requiem for a Dream," Not as bad as Pearl Harbour
","and augmenting it with my stereo , the dialogue was impossible to follow .",1,7,19,25 July 2001,audio_music,1,S,None
Requiem for a Dream," Not as bad as Pearl Harbour
",Whomever did the audio production on this should be shot ! (,1,7,19,25 July 2001,audio_music,1,S,None
Requiem for a Dream," Not as bad as Pearl Harbour
","and yes I checked another viewing ,",1,7,19,25 July 2001,viewing_experience,3,O,None
Requiem for a Dream," Not as bad as Pearl Harbour
",and the audio was STILL bad!)The music was absolutely dreadful .,1,7,19,25 July 2001,audio_music,1,S,None
Requiem for a Dream," Not as bad as Pearl Harbour
",Music is supposed toenhance a feeling - or set a mood or tone .,1,7,19,25 July 2001,audio_music,3,O,None
Requiem for a Dream," Not as bad as Pearl Harbour
","The music stood out like one big sore ARM ! ( err I hope I didn""t give away too much of the lack of plot!)The movie describes the downward spiral of 4 individuals , each addicted to their drug of choice .",1,7,19,25 July 2001,story_plot,3,O,None
Requiem for a Dream," Not as bad as Pearl Harbour
","More time should have been spent on character development ,",1,7,19,25 July 2001,character_development,2,S,None
Requiem for a Dream," Not as bad as Pearl Harbour
","and less on trying to be and "" artsy "" film .",1,7,19,25 July 2001,themes_messages,2,S,None
Requiem for a Dream," Not as bad as Pearl Harbour
",This movie would NOT survive in the mainstream at all .,1,7,19,25 July 2001,viewing_experience,2,S,None
Requiem for a Dream," Not as bad as Pearl Harbour
",It has little to offer in the way of entertainment value .,1,7,19,25 July 2001,viewing_experience,2,S,None
Requiem for a Dream," Not as bad as Pearl Harbour
","While not as bad as "" Trainspotting "" - If the attempt was to show the down side of addiction .",1,7,19,25 July 2001,comparative_analysis,3,S,None
Requiem for a Dream," Not as bad as Pearl Harbour
","This could have succeeded if time were spent on character development , which was close to non - existent .",1,7,19,25 July 2001,character_development,2,S,None
Requiem for a Dream," Not as bad as Pearl Harbour
","I guess I just don""t get "" artsy "" films .",1,7,19,25 July 2001,viewing_experience,3,S,None
Requiem for a Dream," Not as bad as Pearl Harbour
",Glad I only paid $ 4 for this dullard . Rated no starsWayno,1,7,19,25 July 2001,recommendation,1,S,None
Unbreakable," Unbelievably poor acting/plot
","Bruce Willis should NOT make pictures that require serious character acting ... Poor direction , a plot that made absolutely NO sense --scenes that did not advance the plot --I kept looking at my watch waiting for this piece of cinematic blunder to be over .... Waynorated 1/2 star out of 5",1,3,6,31 October 2001,acting_performance,1,S,Bruce Willis
Citizen Kane," Confusing movie
",Over 100 scene transitions in the first 5 minutes ( yes I DID count them ! ) of the movie made it hard to sort out anything that followed -- the movie just made no sense at all -- I got so lost trying to follow all the scene transitions ( and they were very poorly done ) distracted from anything this movie could potentially be .,1,9,36,30 October 1999,editing_pacing,2,S,None
Citizen Kane," Confusing movie
","Acting aside , the director and cinematographer should have been shot ...",1,9,36,30 October 1999,filmmaking_direction,2,S,None
Notting Hill," brutally borish british film...
",I saw Notting Hill as in inflight movie - which addmittedly is NOT the best place to watch much of anything .,1,3,10,23 September 1999,viewing_experience,3,S,None
Notting Hill," brutally borish british film...
","( Prior to the movie , we were "" treated "" to an epidose of "" Frasier "" ( no thanks , I""d rather have hemmeroids ! ) Then the first epidose of "" I Dream of Jeanie "" ( in living black and white)What the heck I had 2 hours to kill .",1,3,10,23 September 1999,viewing_experience,3,S,None
