movie_title,title,review,rating,helpful,total,date,topic,sentiment_score,subjectivity,person_name
The New World," Musical Take on 'First Year in Jamestown'
","Be presented in the fashion of "" Last Year in Marienbad "" ? Terrence Malick ( of "" Days of Heaven , "" yup ) seems to channel Resnais in "" The New World "" he wrote and directed .",7,0,2,18 January 2006,filmmaking_direction,4,S,Terrence Malick
The New World," Musical Take on 'First Year in Jamestown'
","It""s a bizarre , puzzling , beautiful , and maddening film , sure to end up on both the year""s best and worst lists .",7,0,2,18 January 2006,viewing_experience,3,S,None
The New World," Musical Take on 'First Year in Jamestown'
","And , one of the strangest things about this strange movie is its soundtrack .",7,0,2,18 January 2006,audio_music,3,S,None
The New World," Musical Take on 'First Year in Jamestown'
","After James Horner""s name appears on the screen as the composer , there follows 2 1/2 hours ( doesn""t anyone make 90 - minute movies anymore ? ) of Mozart and Wagner .",7,0,2,18 January 2006,audio_music,2,S,James Horner
The New World," Musical Take on 'First Year in Jamestown'
","Now , Mozart""s Piano Concerto No .",7,0,2,18 January 2006,audio_music,3,O,Mozart
The New World," Musical Take on 'First Year in Jamestown'
","23 floating over the muck of the settlement and the broad vistas of the Naturals ( as Christopher Plummer refers to the Indians ) may be anachronistic ,",7,0,2,18 January 2006,audio_music,2,S,Christopher Plummer
The New World," Musical Take on 'First Year in Jamestown'
","but we are well used to KV 488 from a dozen movies , including - alas - "" Way of the Gun , "" "" Good Riddance , "" and "" Misunderstood .",7,0,2,18 January 2006,audio_music,2,S,None
The New World," Musical Take on 'First Year in Jamestown'
",""" No , what""s interesting about the soundtrack of "" The New World "" is how the Prelude to "" Das Rheingold "" is used - at length and significantly .",7,0,2,18 January 2006,audio_music,4,S,None
The New World," Musical Take on 'First Year in Jamestown'
","Just as the film itself is good / bad , there is a contrast here in the appropriateness of the soundtrack .",7,0,2,18 January 2006,audio_music,3,S,None
The New World," Musical Take on 'First Year in Jamestown'
","Wagner""s unstoppable ascending modulation makes no sense at all in the middle of the movie ,",7,0,2,18 January 2006,audio_music,2,S,None
The New World," Musical Take on 'First Year in Jamestown'
",but the very beginning is something else .,7,0,2,18 January 2006,viewing_experience,3,O,None
The New World," Musical Take on 'First Year in Jamestown'
","As the settlers "" ships approach the coast of this new and strange world , water is everywhere ...",7,0,2,18 January 2006,story_plot,3,O,None
The New World," Musical Take on 'First Year in Jamestown'
","And there swells that grand "" Creation music "" so well , so right .",7,0,2,18 January 2006,audio_music,5,S,None
The New World," Musical Take on 'First Year in Jamestown'
","Underwater glimpses of young native women swimming just reinforce the connection , needlessly .",7,0,2,18 January 2006,story_plot,2,S,None
The New World," Musical Take on 'First Year in Jamestown'
","Studio notes , by the way , identify soundtrack portions not written by Horner as "" non - original music .",7,0,2,18 January 2006,audio_music,3,O,James Horner
The New World," Musical Take on 'First Year in Jamestown'
",""" That be Mozart and Wagner ... :) Janos",7,0,2,18 January 2006,audio_music,3,O,None
Frost_Nixon," 'Frost/Nixon' - not what you think
","I almost skipped "" Frost / Nixon , """,Null,71,103,11 December 2008,expectation,2,S,None
Frost_Nixon," 'Frost/Nixon' - not what you think
","and I am glad I didn""t .",Null,71,103,11 December 2008,viewing_experience,4,S,None
Frost_Nixon," 'Frost/Nixon' - not what you think
","It""s eminently worthwhile , one of the year""s few films that deserves to be seen .",Null,71,103,11 December 2008,recommendation,5,S,None
Frost_Nixon," 'Frost/Nixon' - not what you think
",My reluctance had to do with the expectation that it will offer nothing new to somebody who lived through the Watergate years and saw the Frost interviews ( although remembering surprisingly little of them ) .,Null,71,103,11 December 2008,expectation,3,S,None
Frost_Nixon," 'Frost/Nixon' - not what you think
","Ron Howard""s film is anything but ho - hum - if anything it""s a bit too gussied up to be exciting .",Null,71,103,11 December 2008,filmmaking_direction,2,S,Ron Howard
Frost_Nixon," 'Frost/Nixon' - not what you think
","There is an element of discernible manipulation of the audience ,",Null,71,103,11 December 2008,themes_messages,3,O,None
Frost_Nixon," 'Frost/Nixon' - not what you think
","but mostly it works , and you don""t long resist it .",Null,71,103,11 December 2008,viewing_experience,4,S,None
