movie,original_reviews,sampled_reviews,sampling_ratio
JFK 1991,479,12,0.025052192066805846
Southpaw 2015,344,12,0.03488372093023256
Man on Fire 2004,762,15,0.01968503937007874
Minions 2015,352,12,0.03409090909090909
Mr. Holland's Opus 1995,173,8,0.046242774566473986
The Fighter 2010,442,12,0.027149321266968326
The Hurricane 1999,274,12,0.043795620437956206
Nausicaä of the Valley of the Wind 1984,225,12,0.05333333333333334
Harry Potter and the Chamber of Secrets 2002,930,15,0.016129032258064516
Chicken Run 2000,384,12,0.03125
Up 2009,870,15,0.017241379310344827
Terminator 3: Rise of the Machines 2003,1710,20,0.011695906432748537
The Happening 2008,1379,20,0.014503263234227702
Frozen 2013,1109,20,0.018034265103697024
Lincoln 2012,794,15,0.018891687657430732
Insomnia 2002,682,15,0.021994134897360705
The Secret in Their Eyes 2009,288,12,0.041666666666666664
It Chapter Two 2019,2182,20,0.00916590284142988
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe 2005",1505,20,0.013289036544850499
Casino Royale 2006,2401,20,0.008329862557267805
Final Destination 2 2003,495,12,0.024242424242424242
The Others 2001,1134,20,0.01763668430335097
Star Trek 2009,1641,20,0.01218769043266301
Top Secret! 1984,177,8,0.04519774011299435
Shine 1996,116,8,0.06896551724137931
Love Actually 2003,1135,20,0.01762114537444934
The Last Samurai 2003,1025,20,0.01951219512195122
Parasite 2019,2392,20,0.008361204013377926
Goon 2011,165,8,0.048484848484848485
Midsommar 2019,2580,20,0.007751937984496124
Caddyshack 1980,278,12,0.04316546762589928
Non-Stop 2014,449,12,0.026726057906458798
"Girl, Interrupted 1999",413,12,0.029055690072639227
Event Horizon 1997,943,15,0.015906680805938492
The Hobbit: An Unexpected Journey 2012,1429,20,0.013995801259622114
22 Jump Street 2014,355,12,0.03380281690140845
The Ottoman Lieutenant 2017,121,8,0.06611570247933884
The Orphanage 2007,339,12,0.035398230088495575
The Great Escape 1963,348,12,0.034482758620689655
The Shining 1980,1754,20,0.011402508551881414
The Greatest Showman 2017,1795,20,0.011142061281337047
Stripes 1981,163,8,0.049079754601226995
Hacksaw Ridge 2016,871,15,0.01722158438576349
12 Monkeys 1995,633,15,0.023696682464454975
Pirates of the Caribbean: The Curse of the Black Pearl 2003,2174,20,0.00919963201471941
Blood Diamond 2006,725,15,0.020689655172413793
Deadpool 2 2018,1310,20,0.015267175572519083
Black Panther 2018,3190,20,0.006269592476489028
Flashdance 1983,152,8,0.05263157894736842
How to Train Your Dragon 2010,613,15,0.024469820554649267
The Thin Red Line 1998,1483,20,0.013486176668914362
The Man Who Would Be King 1975,186,8,0.043010752688172046
No Strings Attached 2011,214,12,0.056074766355140186
The Irishman 2019,2675,20,0.007476635514018692
Elizabeth: The Golden Age 2007,237,12,0.05063291139240506
Captain Phillips 2013,623,15,0.024077046548956663
Pirates of the Caribbean: On Stranger Tides 2011,535,15,0.028037383177570093
A Nightmare on Elm Street 1984,774,15,0.01937984496124031
The Favourite 2018,1195,20,0.016736401673640166
MASH 1970,249,12,0.04819277108433735
Deadpool 2016,1439,20,0.01389854065323141
The Danish Girl 2015,289,12,0.04152249134948097
Beauty and the Beast 1991,421,12,0.028503562945368172
Goodfellas 1990,1239,20,0.016142050040355124
The Pursuit of Happyness 2006,749,15,0.020026702269692925
Lion 2016,536,15,0.027985074626865673
A Bug's Life 1998,362,12,0.03314917127071823
The Martian 2015,1295,20,0.015444015444015444
Django Unchained 2012,1497,20,0.013360053440213761
Bridge of Spies 2015,465,12,0.025806451612903226
Pirates of the Caribbean: At World's End 2007,1290,20,0.015503875968992248
Snow White and the Seven Dwarfs 1937,247,12,0.048582995951417005
2012 2009,1174,20,0.017035775127768313
The Bourne Supremacy 2004,847,15,0.01770956316410862
Million Dollar Arm 2014,109,8,0.07339449541284404
The Evil Dead 1981,825,15,0.01818181818181818
Thor: Ragnarok 2017,1576,20,0.012690355329949238
Cross of Iron 1977,173,8,0.046242774566473986
The Legend of Bagger Vance 2000,275,12,0.04363636363636364
Harry Potter and the Goblet of Fire 2005,1960,20,0.01020408163265306
Incredibles 2 2018,1067,20,0.01874414245548266
The Mountain II 2016,142,8,0.056338028169014086
X2: X-Men United 2003,1104,20,0.018115942028985508
Interview with the Vampire: The Vampire Chronicles 1994,451,12,0.026607538802660754
All the President's Men 1976,240,12,0.05
Over the Hedge 2006,292,12,0.0410958904109589
School of Rock 2003,517,15,0.029013539651837523
Gladiator 2000,2575,20,0.007766990291262136
Dirty Dancing 1987,460,12,0.02608695652173913
Rockstar 2011,165,8,0.048484848484848485
The Nice Guys 2016,450,12,0.02666666666666667
The Dirty Dozen 1967,190,8,0.042105263157894736
The Fifth Element 1997,848,15,0.01768867924528302
Transformers: Revenge of the Fallen 2009,1494,20,0.013386880856760375
Sucker Punch 2011,1021,20,0.019588638589618023
Saints and Soldiers 2003,163,8,0.049079754601226995
"Hail, Caesar! 2016",445,12,0.02696629213483146
La Grande Illusion 1937,135,8,0.05925925925925926
50 First Dates 2004,505,15,0.0297029702970297
The Bourne Legacy 2012,559,15,0.026833631484794274
Disturbia 2007,527,15,0.028462998102466792
Star Wars: Episode IX - The Rise of Skywalker 2019,7460,20,0.002680965147453083
X-Men Origins: Wolverine 2009,712,15,0.021067415730337078
The Conjuring 2013,1041,20,0.01921229586935639
American Gangster 2007,495,12,0.024242424242424242
Blade Runner 1982,1518,20,0.013175230566534914
The Wizard of Oz 1939,669,15,0.02242152466367713
Driven 2001,339,12,0.035398230088495575
3 Idiots 2009,600,15,0.025
Jackie Brown 1997,528,15,0.028409090909090908
Ali 2001,388,12,0.030927835051546393
Revolutionary Road 2008,485,12,0.024742268041237112
Grave of the Fireflies 1988,686,15,0.021865889212827987
Kingsman: The Secret Service 2014,935,15,0.016042780748663103
Insidious: Chapter 2 2013,313,12,0.038338658146964855
The 13th Warrior 1999,575,15,0.02608695652173913
Departures 2008,149,8,0.053691275167785234
Ocean's Eleven 2001,926,15,0.016198704103671708
13 Hours 2016,358,12,0.0335195530726257
Snatch 2000,825,15,0.01818181818181818
Fargo 1996,931,15,0.01611170784103115
North by Northwest 1959,591,15,0.025380710659898477
Yesterday 2019,934,15,0.016059957173447537
Whiplash 2014,1166,20,0.017152658662092625
Scarface 1983,1005,20,0.01990049751243781
Nacho Libre 2006,487,12,0.024640657084188913
Kung Fu Panda 2008,425,12,0.02823529411764706
The Hobbit: The Battle of the Five Armies 2014,883,15,0.01698754246885617
Closer 2004,952,15,0.015756302521008403
Finding Nemo 2003,951,15,0.015772870662460567
Grindhouse 2007,533,15,0.028142589118198873
Dreamgirls 2006,528,15,0.028409090909090908
City of God 2002,989,15,0.015166835187057633
Trouble with the Curve 2012,191,8,0.041884816753926704
Apollo 13 1995,381,12,0.031496062992125984
12 Years a Slave 2013,849,15,0.0176678445229682
Vanilla Sky 2001,1291,20,0.015491866769945779
How to Lose a Guy in 10 Days 2003,381,12,0.031496062992125984
The Book Thief 2013,286,12,0.04195804195804196
Troy 2004,1789,20,0.011179429849077696
The Dark Knight Rises 2012,2953,20,0.006772773450728073
Kung Fu Panda 2 2011,243,12,0.04938271604938271
Drag Me to Hell 2009,782,15,0.01918158567774936
Beasts of No Nation 2015,169,8,0.047337278106508875
Eurovision Song Contest: The Story of Fire Saga 2020,863,15,0.01738122827346466
Beowulf 2007,535,15,0.028037383177570093
Scream 2 1997,516,15,0.029069767441860465
