movie_title,title,review,rating,helpful,total,date
"The Adventures of Priscilla, Queen of the Desert"," The Adventures of Priscilla, Queen of the Desert ****½ (9/10)
","Available on Blu-ray Disc (Region B)Australia 1994 English (Colour); Comedy/Drama/Musical/LGBTQ (PolyGram/Australian Film/Latent Image/Specific); 103 minutes (15 certificate)Crew includes: Stephan Elliott (Director/Screenwriter); Al Clark, Michael Hamlyn (Producers); Rebel Penfold-Russell (Executive Producer); Brian J. Breheny (Cinematographer); Owen Paterson (Production Designer); Sue Blainey (Editor); Guy Gross (Composer)Cast includes: Terence Stamp (Bernadette Bassenger), Hugo Weaving (Anthony 'Tick' Belrose/Mitzi Del Bra), Guy Pearce (Adam Whitely/Felicia Jollygoodfellow), Bill Hunter (Bob), Julia Cortez (Cynthia), Sarah Chadwick (Marion Barber), Mark Holmes (Benjamin Barber)Academy Award: Costume Design (Lizzy Gardiner, Tim Chappel); BAFTA Awards (2): Costume Design (Gardiner, Chappel), Makeup/Hair; BAFTA nominations (5): Actor (Stamp), Original Screenplay, Cinematography, Production Design, Film Music; Golden Globe nominations (2): Picture - Musical/Comedy, Actor - Musical/Comedy (Stamp)'Finally, a comedy that will change the way you think, the way you feel, and most importantly... the way you dress.'Two female impersonators (Weaving, Pearce) and a recently bereaved transsexual (Stamp) travel halfway across Australia on board a dilapidated bus christened 'Priscilla,' to perform their cabaret act at a remote casino, encountering absurd situations and individuals almost as nonconformist as they are.Stamp is amazing and totally credible in his quietly dignified transgender portrayal, as are Weaving and (especially) Pearce as 'her' flamboyant, lip-synching (to a marvellously camp soundtrack featuring ABBA, Gloria Gaynor, Village People et al) drag queen companions.The gaudy, outrageous (and cheap) costumes won a well-deserved Oscar, and the photography of the barren, surreal landscape is masterful, as is Elliott's creative direction and hilarious, ultimately poignant script.Blu-ray Extras: Commentary, Documentary, Deleted Scenes, Interviews, Bloopers, Trailers. ***½ (7/10)",9,0,1,4 January 2018
Alien 3," Alien³ (Special Edition) ***½ (7/10)
","Available on Blu-ray Disc (Region B)USA 1992 English (Colour); Science Fiction/Horror/Thriller (Twentieth Century Fox/Brandywine); 145 minutes (18 certificate)Crew includes: David Fincher (Director); David Giler, Walter Hill, Larry Ferguson (Screenwriters, from Characters created by Dan O'Bannon, Ronald Shusett); Gordon Carroll, David Giler, Walter Hill (Producers); Ezra Swerdlow (Executive Producer); Alex Thomson (Cinematographer); Norman Reynolds (Production Designer); Terry Rawlings (Editor); Elliot Goldenthal (Composer)Cast includes: Sigourney Weaver (Ellen Ripley), Charles S. Dutton (Dillon), Charles Dance (Clemens), Paul McGann (Golic), Brian Glover (Andrews), Ralph Brown (Aaron), Danny Webb (Morse), Christopher John Fields (Rains), Holt McCallany (Junior), Lance Henriksen (Bishop II)Academy Award nomination: Visual Effects; BAFTA nomination: Visual EffectsThe woman who overcame horrific events in ALIEN and ALIENS (Weaver) crash-lands on an inhospitable planet that serves as a maximum security prison, where she must rely on her killer instincts and leadership qualities to work with an all-male community of hardened criminals, and defeat the rogue alien that surreptitiously hitched a lift in her emergency escape vehicle.Unsurprisingly considered disappointing on its release, following two gems (wasn't the rollercoaster ride of ALIENS, populated with self-confessed scum, with nobody to root for).Its reputation has nevertheless grown since, not least for being Fincher's début feature, where, despite unwelcome producer interference, his signature grim and moody style was already in evidence.Blu-ray Extras: Original Version (115 minutes), Commentary, Documentaries, Featurettes, Deleted/Extended Scenes, Interviews, Music-only Track, Storyboards, Stills Galleries, Outtakes, Behind-the-Scenes Footage, Multi-Angle Sequence, Time-Lapse Sequence, Production Notes, Trailers, TV Spots. ****½ (9/10)",7,3,3,2 February 2018
Abraham Lincoln: Vampire Hunter," Abraham Lincoln: Vampire Hunter ***½ (7/10)
","Available on Blu-ray Disc (Region B)USA 2012 English (Colour); Horror/Action/Fantasy/Thriller (Twentieth Century Fox/Dune); 105 minutes (15 certificate)Crew includes: Timur Bekmambetov (Director); Seth Grahame-Smith (Screenwriter, adapting his Novel ***½ [7/10]); Tim Burton, Timur Bekmambetov, Jim Lemley (Producers); Michele Wolkoff, John J. Kelly, Simon Kinberg, Seth Grahame-Smith (Executive Producers); Caleb Deschanel (Cinematographer); François Audouy (Production Designer); William Hoy (Editor); Henry Jackman (Composer)Cast includes: Benjamin Walker (Abraham Lincoln), Dominic Cooper (Henry Sturges), Anthony Mackie (Will Johnson), Mary Elizabeth Winstead (Mary Todd Lincoln), Rufus Sewell (Adam), Marton Csokas (Jack Barts), Jimmi Simpson (Joshua Speed), Joseph Mawle (Thomas Lincoln), Robin McLeavy (Nancy Lincoln); Alan Tudyk (uncredited)'President by day. Hunter by night.'Having discovered that vampires exist and that his mother was killed by one, the future 16th President of the United States (Walker) is recruited by a mysterious, shades-wearing figure (Cooper) and trained to lead a double life as a silver axe-wielding hunter, determined to rid his troubled nation of these ferocious demons, and of their invincible creator (Sewell).Crying out not to be taken seriously, what develops nonetheless from this pretty preposterous premise is a straight-faced blast of an offbeat monster movie (incorporating two massive set pieces), with excitement and style to spare, and lashings of gore.Its otherwise authentic biographical background makes for a grotesque history lesson (of sorts).Blu-ray Extras: Commentary, Documentary, Graphic Novel, Music Video, Trailer. ***½ (7/10)",7,1,1,29 December 2017
Alien: Resurrection," Alien: Resurrection (Special Edition) ***½ (7/10)
","Available on Blu-ray Disc (Region B)USA 1997 English (Colour); Science Fiction/Horror/Thriller (Twentieth Century Fox/Brandywine); 116 minutes (18 certificate)Crew includes: Jean-Pierre Jeunet (Director); Josh Whedon (Screenwriter, from Characters created by Dan O'Bannon, Ronald Shusett); Gordon Carroll, David Giler, Walter Hill, Bill Badalato (Producers); Darius Khondji (Cinematographer); Nigel Phelps (Production Designer); Hervé Schneid (Editor); John Frizzell (Composer)Cast includes: Sigourney Weaver (Ripley), Winona Ryder (Call), Dominique Pinon (Vriess), Ron Perlman (Johner), Gary Dourdan (Christie), Michael Wincott (Elgyn), Kim Flowers (Hillard), Dan Hedaya (General Perez), J.E. Freeman (Dr Wren), Brad Dourif (Gediman), Raymond Cruz (Distephano), Leland Orser (Purvis)'Witness the resurrection.'Two hundred years after sacrificing herself, an impregnated Ripley (Weaver) is cloned by scientists via her DNA, in order to remove the Alien queen from her body for use by the military, and with torn loyalties (being half human, half monster now) warily aids a ragtag group of mercenaries to vanquish the latest threat to mankind.Unexpected fourth instalment (following the heroine's definitive demise in 3) from another fresh, visionary director, with two strong, female leads (Ryder for the youngsters), and black humour injected successfully into the mix.Surprising pathos is also added by the introduction of the Newborn, with its sad, expressive eyes (missing entirely from all previous aliens).Blu-ray Extras: Original Version (109 minutes), Commentary, Documentaries, Featurettes, Deleted/Extended Scenes, Interviews, Music-only Track, Screenplay, Storyboards, Stills Galleries, Outtakes, Behind-the-Scenes Footage, Multi-Angle Sequence, Production Notes, Trailers, TV Spots. ****½ (9/10)",7,2,4,4 February 2018
Zootopia," Zootropolis (aka Zootopia) *** (6/10)
","USA 2016 English (Colour); Animation (Walt Disney); 108 minutes (PG certificate)Crew includes: Byron Howard, Rich Moore (Directors); Jared Bush, Phil Johnston (Screenwriters); Clark Spencer (Producer)Voices include: Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong, J.K. Simmons, Octavia Spencer, Alan Tudyk, ShakiraAcademy Award: Animated Film; Golden Globe Award: Animated PictureIn a vast city, where mammals supposedly coexist harmoniously, whether formerly prey or predator, Zootropolis's first bunny cop (Goodwin) teams up with a sly fox (Bateman) to locate a missing otter.The none-too-subtle moral message (that anyone can be anything) is hammered home by a clever, knowing screenplay having fun skewering stereotypes, and sunny visuals.",6,1,3,2 January 2018
Alexander," Alexander ***½ (7/10)
","Available on Blu-ray Disc (Region B)France/UK/Netherlands/USA/Germany 2004 English (Colour); Action/Drama/War/Biopic/History/Romance/LGBTQ (Warner Bros./ Intermedia/IMF/Pathé Renn/Gordian/Great Filmproductie); 176 minutes (15 certificate)Crew includes: Oliver Stone (Director); Oliver Stone, Christopher Kyle, Laeta Kalogridis (Screenwriters, adapting Book ALEXANDER THE GREAT by Robin Lane Fox (uncredited) *** [6/10]); Thomas Schühly, Jon Kilik, Iain Smith, Moritz Borman (Producers); Paul Rassam, Matthias Deyle (Executive Producers); Rodrigo Prieto (Cinematographer); Jan Roelfs (Production Designer); Tom Nordberg, Yann Hervé, Alex Marquez (Editors); Vangelis (Composer)Cast includes: Colin Farrell (Alexander), Angelina Jolie (Olympias), Val Kilmer (Philip), Christopher Plummer (Aristotle), Jared Leto (Hephaistion), Rosario Dawson (Roxane), Anthony Hopkins (Old Ptolemy), Jonathan Rhys Meyers (Cassander), Brian Blessed (Wrestling Trainer), Tim Pigott-Smith (Omen Reader)'Fortune favours the bold.'Forty years after dying in 323 BC, the extraordinary existence of an all-conquering Macedonian leader (Farrell) is recounted by an elderly pharaoh (Hopkins).Unconvincing as a golden-haired 18-year-old, Farrell grows into the role, in Stone's long, ambitious epic, with occasional pompous dialogue and overacting, as befits such larger-than-life characters as Alexander's brutish, one-eyed father (Kilmer) and smothering, snake-charming mother (a scene-chewing Jolie).Impressively for a mainstream film (a US flop that fared better in Europe and on home video), Alexander's conceivable bisexuality, while not tackled head-on, is neither sidelined, and despite taking a Persian wife (Dawson), the tenderest scenes are between a compassionate king and his trusted, boyhood friend (Leto).Blu-ray Extras: Commentary, Featurettes, Trailers. *** (6/10)",7,0,0,27 January 2018
About Time," About Time ***½ (7/10)
","Available on Blu-ray Disc (Region B)UK 2013 English (Colour); Comedy/Drama/Romance/Fantasy (Universal/Relativity Media/Working Title); 123 minutes (15 certificate)Crew includes: Richard Curtis (Director/Screenwriter); Tim Bevan, Eric Fellner, Nicky Kentish Barnes (Producers); Richard Curtis, Liza Chasin, Amelia Granger (Executive Producers); John Guleserian (Cinematographer); John Paul Kelly (Production Designer); Mark Day (Editor); Nick Laird-Clowes (Composer)Cast includes: Domhnall Gleeson (Tim Lake), Rachel McAdams (Mary), Bill Nighy (James Lake), Lydia Wilson (Kit Kat), Lindsay Duncan (Mary Lake), Richard Cordery (Uncle Desmond), Joshua McGuire (Rory), Tom Hollander (Harry Chapman), Margot Robbie (Charlotte), Will Merrick (Jay), Vanessa Kirby (Joanna), Tom Hughes (Jimmy Kincade), Lisa Eichhorn (Mary's Mother, Jean); Richard Griffiths, Richard E. Grant (both uncredited)'What if every moment in life came with a second chance?'At age 21, a gangly, trainee lawyer (Gleeson) learns from his father (Nighy) that all men in their family have the ability to travel back through time to revisit (and potentially improve upon) episodes in their lives, a skill he uses to woo a beautiful American (McAdams).The deliberately low-tech fantasy element (find a dark space and clench fists) - respecting not exactly rigorous rules - may be unique to the Curtis oeuvre, but the director's standard preoccupations (with family, mortality, love) are well to the fore, if more sentimentally played out than usual (particularly in the second half, rather less comedy than tearjerker).McAdams starred previously as THE TIME TRAVELER'S WIFE.Blu-ray Extras: Commentary, Featurettes, Deleted Scenes, Bloopers, Music Video. *** (6/10)",7,0,2,28 December 2017
The Adventures of Tintin," The Adventures of Tintin: The Secret of the Unicorn (aka The Adventures of Tintin) ***½ (7/10)
","Available on Blu-ray Disc (Region B)USA/New Zealand 2011 English (Colour); Animation/Adventure/Family/Mystery (Paramount/Columbia/Hemisphere Media Capital/Amblin/Wingnut/Kennedy-Marshall/Nickelodeon); 107 minutes (PG certificate)Crew includes: Steven Spielberg (Director); Steven Moffat, Edgar Wright, Joe Cornish (Screenwriters, adapting Comic Books THE CRAB WITH THE GOLDEN CLAWS, THE SECRET OF THE UNICORN and RED RACKHAM'S TREASURE by Hergé *** [6/10]); Steven Spielberg, Peter Jackson, Kathleen Kennedy (Producers); Ken Kamins, Nick Rodwell, Stephane Sperry (Executive Producers); Michael Kahn (Editor); John Williams (Composer)Voices include: Jamie Bell (Tintin), Andy Serkis (Captain Archibald Haddock/Sir Francis Haddock), Daniel Craig (Sakharine/Red Rackham), Nick Frost (Thomson), Simon Pegg (Thompson), Daniel Mays (Allan/Pirate Flunky #1), Gad Elmaleh (Omar Ben Salaad), Toby Jones (Silk), Mackenzie Crook (Tom/Pirate Flunky #2)Academy Award nomination: Original Score; BAFTA nominations (2): Visual Effects, Animated Film; Golden Globe Award: Animated Picture'This year, discover how far adventure will take you.'A baby-faced reporter (Bell) and his ever-faithful fox terrier join forces with an inebriated sea captain (Serkis), to trounce a sinister landowner (Craig) in his ruthless search for a centuries-old sunken treasure that went down with an ill-fated sailing ship when it was attacked by pirates.Based on elements from three of the books in THE ADVENTURES OF TINTIN series, Hergé's entire universe seems ideally suited to Spielberg, transferring the iconic comic strip hero into a teenage, similarly globetrotting and adventure-seeking Indiana Jones.Spielberg's first wholly animated feature, utilising 3D motion capture, contains strong, expressive 'performances' from a mainly British cast, including the original BILLY ELLIOT, Gollum, and James Bond.Blu-ray Extras: Featurettes. *** (6/10)",7,0,0,11 January 2018
Moana," Moana **½ (5/10)
","USA 2016 English (Colour); Animation (Walt Disney); 107 minutes (PG certificate)Crew includes: John Musker, Ron Clements (Directors); Jared Bush (Screenwriter); Osnat Shurer (Producer)Voices include: Auli'i Cravalho, Dwayne JohnsonThe adventurous daughter of a village chief (Cravalho) ventures beyond the reef to compel a shapeshifting demigod, minus magical powers (Johnson), to restore the heart he stole from her island which is now dying, and save her people.Beautiful animation is undone by annoying characters (although the stupid chicken sidekick is funny) and average songs.",5,3,6,6 January 2018
Alien," Alien (Director's Cut) ***½ (7/10)
","Available on Blu-ray Disc (Region B)USA/UK 1979 English (Colour); Science Fiction/Horror/Thriller (Twentieth Century Fox/Brandywine); 116 minutes (18 certificate)Crew includes: Ridley Scott (Director); Dan O'Bannon (Screenwriter); Gordon Carroll, David Giler, Walter Hill (Producers); Ronald Shusett (Executive Producer); Derek Vanlint (Cinematographer); Michael Seymour (Production Designer); Terry Rawlings (Editor); Jerry Goldsmith (Composer)Cast includes: Tom Skerritt (Dallas), Sigourney Weaver (Ripley), Veronica Cartwright (Lambert), Harry Dean Stanton (Brett), John Hurt (Kane), Ian Holm (Ash), Yaphet Kotto (Parker)Academy Award: Visual Effects (H.R. Giger et al); Academy Award nomination: Art Direction-Set Decoration; BAFTA Awards (2): Production Design, Sound; BAFTA nominations (5): Supporting Actor (Hurt), Editing, Film Music, Costume Design (John Mollo), Most Promising Newcomer (Weaver); Golden Globe nomination: Original Score'In space no one can hear you scream.'A deadly organism is unwittingly brought onboard an earthbound spaceship, after it responds to a distress signal emanating from a desolate planetoid, and as the fast-adapting alien stealthily stalks its human prey, each meets a grisly end, until the terrifying, climactic showdown between acid-spewing monster and last remaining crew member (Weaver).A creepy, intensely atmospheric landmark of the sci-fi/horror genre that opens leisurely, but after a relatively mundane 55 minutes, all hell breaks loose, literally, as something evil rips a violently writhing Hurt's body open in the justly celebrated chest-bursting scene.Classic status attained due to Goldsmith's minimalist score; claustrophobic, dirty sets; non-heroic, realistic characters; and a female, sole survivor.Blu-ray Extras: Original Version (117 minutes), Commentaries, Documentaries, Featurettes, Deleted/Extended Scenes, Interviews, Music-only Tracks, Screenplay, Storyboards, Stills Galleries, Outtakes, Behind-the-Scenes Footage, Multi-Angle Sequence, Screen Tests, Video Graphics, Production Notes, Parody, Trailers, TV Spots. ***** (10/10)",7,1,3,31 January 2018
