movie_title,rating,helpful,total,date,title,review
The Rock,8,2,2,11 January 2014," Michael Bay - Nicolas Cage - Sean Connery
","Renegade general Hummel (Ed Harris) has stolen 15 VX rockets, taken over Alcatraz, taken 81 hostages, and threatens to strike San Francisco unless The Pentagon pays him $100M from their slush funds. He intends to use the money to pay the families of the soldiers under his command who the government has disavowed over the years. In order to disarm the rockets, the FBI is sending their chemical weapons expert Stanley Goodspeed (Nicolas Cage). And they're digging up a mysterious British agent prisoner John Mason (Sean Connery) who once escaped from Alcatraz. When the team sent in to take on Hummel is decimated, Goodspeed and Mason must disarm the rockets on their own.This is Michael Bay audacity to bring his heart pumping action style to bear. The action is big time bombastic joy. And for the best effect, he allows the actors to have fun in between the action. Nicolas Cage brings a lot of his manic energy and a bit of his crazy humor. And Sean Connery brings the Bond gravitas to the action. Plus the Cage Connery duo is a lot of fun, and they have great chemistry together. This is the best kind of popcorn movie-making."
The Double Life of Véronique,6,1,3,27 August 2015," fine art-house film of sadness
",Weronika and Véronique are two unrelated connected lives. Weronika (Irène Jacob) is a singer in small town Poland. She gets an audition for a choir. Then she sees french tourist Véronique (Irène Jacob) taking pictures. Weronika collapses and dies in her first performance. Véronique feels the lost and quits singing.There is a pervasive saddest throughout the movie. The film is drained of bright colors. Weronika's life is the first 30 minutes and the rest is Véronique dealing with a lost that she can't fully comprehend. Irène Jacob is a beauty. She has a great dreamlike quality. However the two characters don't have enough separations. It's a fine art-house film of sadness.
"Run, Fat Boy, Run",6,1,2,30 July 2014," Limited comedy
","Dennis Doyle (Simon Pegg) is a lazy scared loser. He leaves his pregnant fiancée Libby (Thandie Newton) in a case of runaway groom. Five years later, he's a store security guard still trying to get back together with Libby. They have a kid Jake. She has a new successful boyfriend Whit (Hank Azaria). Dennis is still unreliable. Whit tells him that he's doing the Nike River run. Dennis decides to do the run to prove something to Libby. The problem is that he's horribly unfit.This is marginally likable only because of Simon Pegg. The problem is that director David Schwimmer and writers Michael Ian Black and Simon Pegg fail to get anywhere particularly funny. Sure it has Hank Azaria flashing Pegg. But Schwimmer can't quite make it funny. Pegg probably misses Nick Frost as his sidekick. He needs a buddy for a buddy comedy. There are some cute training scenes. The crude American humor is too obvious. Pegg seems to struggle with those. Considering the talent, this should be much better."
The Devil's Advocate,6,3,7,15 August 2015," too ambitious and too long
","Florida defense lawyer Kevin Lomax (Keanu Reeves) has a perfect record. He is angered when he realizes his client is guilty. Nevertheless, he destroys the victim on the stand. He is married to Mary Ann (Charlize Theron) and his religious mother Alice disapproves. John Milton (Al Pacino) recruits Kevin to his NYC law firm. The couple is given a massive apartment and lots of money.Al Pacino seems to be having a lot of fun with lines like 'They don't see me coming.' He's great at being Satan. The movie is too ambitious. It wants to be a horror like 'The Exocist' or 'Rosemary's Baby', but it doesn't have the tension. It tries to be a character study but Kevin is too arrogant and too dumb to be appealing. It's also too long. This should be better especially with Pacino enjoying himself. The final twist is also problematic and is a cheat on the rest of the movie."
Ford v Ferrari,8,3,4,24 February 2020," old fashion greatness
",Racing champ Carroll Shelby (Matt Damon) has to retire due to a medical issue. His racing friend Ken Miles (Christian Bale) is seen as difficult and the IRS has confiscated his garage. Ferrari has been at the top of racing in the 24 Hours of Le Mans. The Ford Motor Company finds its sales going stale and Henry Ford II wants a big idea. Marketing VP Lee Iacocca has the idea to enter the race. They first try to buy Ferrari and Enzo Ferrari insults Henry Ford II. Iacocca recruits Shelby to create a racing car and Shelby recruits Miles to be his driver.This is an old fashion rip roaring good times. Damon and Bale are great. All the actors are great whether it's Tracy Letts being told that he's not Henry Ford or the villainy of Josh Lucas. It's a solid sports underdog story. It's fun like Caitriona Balfe driving crazy. The race is thrilling. It is a perfectly made old fashion movie.
The Blair Witch Project,6,1,4,4 October 2014," Birth of a sub-genre
","In October 1994, three film students Heather Donahue, Josh Leonard and Mike Williams (their real names) disappeared in the woods near Burkittsville, Maryland. A year later, their cameras are found. There is a local legend of The Blair Witch and missing children. They were there to do a documentary.This is the granddaddy of the found footage movies. This could be scary if the audience buys into the film as real. I didn't and it's not scary for me. It's a little too shaky and rambling. I am reminded of Michael Moore talking about what a revelation the tripod is. Also the start is excruciatingly slow. It's an interesting idea that birthed a whole new genre. That's no easy task. However, it achieves very little more than that for me. It is more dizzying than frightening."
The King's Speech,8,1,2,14 September 2014," Two incredible performances
","This movie starts in 1925 as King George directs his second son, the future King George VI (Colin Firth), to deliver a speech on the radio. He stutters his way through an embarrassing effort. It's a struggle with various bad teachers. His only support is his wife (Helena Bonham Carter). She finds unorthodox speech therapist Lionel Logue (Geoffrey Rush) surreptitiously without her husband's approval. He is more than very reluctant. He slowly develops a friendship with the amateur actor Lionel. Meanwhile his older brother King Edward VIII (Guy Pearce) is dating Wallis Simpson (Eve Best) culminating in his abdication and the installation of George as the new king.This is an actors' movie. Both Firth and Rush are doing award worthy performances. They have created real flesh and blood human beings and not just some stuffy royal and his Professor Higgins. They have real feelings and fears. The fear in George is palpable. They have great interactions together especially early on. The movie does have a few slow spots in the middle but it's still one of the best of that year."
Despicable Me 2,8,0,0,28 June 2014," I love the Minions
","Gru has become a good guy and a father to the girls Margo, Agnes, and Edith. He's trying to make jam and jelly but Dr. Nefario can't make it work and quits. A mysterious villain has stolen an Arctic base that was experimenting with transmutation serum PX-41 that transforms any creature into indestructible monsters. Anti-Villain League agent Lucy Wilde kidnaps Gru to get him to help find the culprit. Together they investigate suspects working at a mall. Meanwhile the minions are being taken by the unknown villain.The minions are back. And also Gru is back too. But I love this most of all for the minions. They are funny every time that they're on the screen. They are just the silliest and the most adorable. Gru has an interesting family story where the girls especially Agnes wants a mother figure. The oldest girl Margo is infatuated with a boy. And Gru could be falling for Lucy. It makes for a good compelling personal story. And did I mention the Minions? They're super great."
The Mask,8,1,1,25 December 2013," Perfect vehicle for Jim Carrey
","A mask with magical powers is released from an underwater chest in Edge City. Stanley Ipkiss (Jim Carrey) is a super nice meek bank clerk. This is the first movie with Cameron Diaz. She plays a hot bombshell who walks into the branch to open an account. It turns out that she's actually casing the bank. Then he finds the mask, and things take a turn for the crazy.This is the perfect vehicle for Jim Carrey. He is basically a Bugs Bunny cartoon with the mask on. And that's his persona on stage. This premise allows Carrey to use his manic energy to the fullest without looking ridiculous. And it doesn't hurt to have a hot Cameron Diaz walking around in those tight short dresses."
Saturday Night Fever,9,0,2,3 April 2016," Travolta in disco heaven
","Tony Manero (John Travolta) is a strutting 19 year old Italian-American in Brooklyn. He works in a paint store, fights with his loud combative family, and lives for disco. He's the local disco king with a group of friends. Local girl Annette is desperate to be his girl. The Verrazano–Narrows Bridge divides this world from the magical world of Manhattan. He is taken with new girl Stephanie Mangano. Annette convinces him to be her dance partner in the big contest. Tony pushes to get Stephanie who has her eye on Manhattan. The family is shocked when his sainted brother decides to leave the priesthood.From the first scene, Travolta brings a power into this disco fable. It's the music. It's the fashion. It's the family and friends. Best of all, it's a hungry Travolta on the prowl. Tony is clueless but he's hungry. He doesn't know what he's hungry for but he's restless for it. Travolta is uninhibited. He's a disco god. Special mention goes to Donna Pescow and her great portrayal of Annette."
