movie_title,title,review,rating,helpful,total,date
Insidious: Chapter 2," James Wan Makes Another Boo Boo....
","Having seen some bad films from Wan lately, Insidious and The Conjuring I should've expected the streak to continue.The film continues from the end of first film, Insidious. Elise is dead and Josh's body is now possessed by the entity that was after him and his son. The possessed Josh dupes his family into thinking that he is alright. He is planning to murder all of them soon. However his plans are foiled when his wife visits Elise's colleagues, Specs and Tucker to seek an explanation behind the strange events. They call Carl, who attempts to contact Elise using word-dice. This film uses the same plot device of limbo-like dimension or realm called the further(Insidious 2011). It appears that when you die, you get access to this dimension, whether you are in heaven or hell, irrespective.The film shifts between the two planes earthly and the further as the film progresses. The opening and development of the film is boring and if you have an android phone or PSP at hand, your mind will wander and you will start to fiddle with these. This time Wan doesn't torture us in the same level as the first film - He places a mattress on the floor before he trips you.The sound effects are atrocious as the first film. Guys who are using pacemakers should avoid this movie for their health's sake(or life for that matter. Reason is that at points in the film there are blaring noises or 'loud sound effects' designed to scare you. Special effects in the film are below standard compared to most Hollywood films released these days.The cast of this film is the weakness, as none of them really shine out and try to lift this film. Patrick Wilson gives a mediocre performance as does Mary Rose Byrne, an actress who got two Emmy and Golden Globe award nominations for the TV series Damages. Lin Shaye is one of the better actresses in the film and because of her, the film is less of a bore than it should be.",4,0,0,1 February 2014
The Avengers," My Vote: Best Action Film Of 2012. Eat Sh*t Chris Nolan.
","For fans of the comic books, it's a dream come true. For die-hard action fans it something you have never been prepared for.... The sheer special-effects and solid script work effortlessly and make this film work. Two characters I feel carry this film: Iron Man & Captain America. The two have male ego problems, conflict of moralities and this can be seen in the film.I have given a rating of 10 for Special Effects and Script. There are some actors that would have sunk this film, if not for the majority of decent acting by both Robert Downey Jr., Chris Evans and Samuel Jackson. For once in his life Chris Hemsworth does not f*ck it up.The liabilities in this film are: Jeremy Renner, Scarlett Johansson, Mark Ruffalo. But they just merely cause a dent in the armour, nothing more.Before you see this film you should already have seen: Iron Man 1 & 2, The Hulk & The Incredible Hulk, Captain America: The First Avenger and Thor. This will give you a background into these characters.Plot: Nick Fury is director of S.H.I.E.L.D, an international peace keeping agency. The agency is a who's who of Marvel Super Heroes, with Iron Man, The Incredible Hulk, Thor, Captain America, Hawkeye and Black Widow. When global security is threatened by Loki and his cohorts, Nick Fury and his team will need all their powers to save the world from disaster. Other Superhero Theme Movies: The Flash, The Flash II: Revenge of the Trickster, The Meteor Man (1993), I-Man (1986), Robocop Trilogy, The Vindicator, Revenge Of The Radioactive Reporter.",10,1,8,12 January 2013
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan," Showcasing The bad side of a capitalist society and excessive freedom in the U.S.A.
","Well lets face it, too much freedom isn't good, and that's why we have religions and laws that uphold these religions. Religions are here to stay it is a by-product of humanity, spawned from humanity. Possibly it was a last gasp way of controlling people and that is what religion is to isolate into groups the people who follow it.Religion is basically a way of taming an uncontrollable and wild people. Excessive sexual urges, excessive eating and drinking and smoking all are not good in the long run. Excessive unrestricted sex with a number of partners leads to a variety of sexually transmitted diseases. Excessive consumption of alcohol results in liver cancer in the long run. Smoking daily is a proved way to get lung cancer which spreads to all parts of the body. Both Christianity, Catholicism, Islam and Hinduism prohibit gay/lesbian sex, adultery and abortion. Islam does NOT PROHIBIT POLYGAMY but encourages it. However Islam praises those who are monogamous. In Islamic religion you can marry more that one wife at a time. In Christianity and Catholic religion and Islam there is DIVORCE and this is the same as polygamy. Basically means if you are not satisfied with your wife divorce her and marry another. Also note that religions are normally present in a DEMOCRATIC CAPITALISTIC GOVERNMENT. Religions are not present in a DICTATORIAL, COMMUNIST and UTOPIAN society. Face it we have reached the digital technological age and we are making smaller mobiles, computers and vehicles every day so WHY THE NEED FOR RELIGION WHEN WE CAN LEARN FROM OUR PAST MISTAKES? Humans can hold THEMSELVES TO BLAME FOR ALL THE PROBLEMS IN THE WORLD. All humans have accomplished so far is to hold two World Wars and to plunder the resources of the Earth and totally destroyed its ecosystem. A capitalist society has prostitution and pornography, drug trafficking,legal abortion, plastic surgery and gender changing surgery for money.Basically you can do what you want if you have the dough.Well this film doesn't poke fun of all aspects of the capitalist society. It is more centered on the media and open sexuality in America. Also we see a mockery of the Jewish religion which I feel is uncalled for. We have a goofy look at how the live weather forecast is conducted. And we see Azmat and Borat having a fight in the nude.In other words this is just another adult comedy film. This could have been an instructive film to the youth but S.B COHEN blew his chance. He could have should AIDS sufferers in USA and cancer patients dying from excessive smoking and drinking and unwanted teenage pregnancies and abortions. Also should have showed the open gay and lesbian bars and teenage prostitution.If humanity continues to follow perversions and destroy the earth, which is the only planet capable to supporting life in this solar system it is doomed and that's my message.ONE WORLD,ONE LOVE,ONE PEOPLE. Signing Out...",10,0,1,7 November 2010
Alien 3," The Final Chapter In The Alien Series And The End Of Lt. Ellen Ripley.
","David Fincher gives us back the same horror we felt in Ridley Scott's Alien.The plot, special effects and acting are outstanding. The casting is superb and this is what lifts the film. Full Plot: Following the events in Aliens, the Colonial Marine spaceship Sulaco experiences an onboard fire and launches an escape pod containing Ellen Ripley (Sigourney Weaver), Newt, Hicks, and the damaged android Bishop who are all in cryonic stasis. During the launch, the ship's medical scans of the crew's cryotubes show an Alien facehugger attached to one of the crewmembers. The pod then crashes on Fiorina 'Fury' 161, a foundry facility and penal colony inhabited by all-male inmates with 'double-Y' chromosome patterns and histories of physical and sexual violence. After some inmates recover the pod and its passengers, an Alien facehugger is seen approaching the prison dog. Ripley is taken in and awakened by Clemens (Charles Dance), the prison doctor, and is told she is the only survivor of the crash. Many of the ex-inmates have embraced an apocalyptic, millenarian version of Christianity, and Ripley is warned by the prison warden, Harold Andrews, (Brian Glover) that her presence among them may have extremely disruptive effects.Suspicious of what caused the escape pod to jettison and what killed her companions, Ripley requests that Clemens perform an autopsy on Newt. She fears that Newt may be carrying an Alien embryo in her body, though she does not share this information. Despite protests from the warden and his assistant, Aaron (Ralph Brown), the autopsy is conducted and no embryo is found in Newt's body, and Clemens proclaims she simply died in the crash. Meanwhile, Ripley's unusual behavior begins to frustrate the warden and is agitating the prisoners.A funeral is performed for Newt and Hicks in which their bodies are cremated in the facility's enormous furnace. In another section of the facility, the prison dog enters convulsions, and an Alien bursts from its body. The Alien soon begins to attack members of the colony, killing several and returning an outcast prisoner Golic (Paul McGann) to his former deranged state. To get answers, Ripley recovers and reactivates the damaged android Bishop, who confirms that there was an Alien on the Sulaco and it came with them to Fiorina in the escape pod. She then informs Andrews of her previous encounters with the Aliens and suggests everyone work together to hunt it down and kill it. Andrews does not believe her story and explains that the facility has no weapons. Their only hope of protection is the rescue ship being sent for Ripley by the Weyland-Yutani Corporation.Back in the prison infirmary, while talking to Ripley about the situation, Clemens is killed by the Alien, which then approaches Ripley but does not attempt to kill her. She runs to the mess hall to warn the others, only to see the Alien kill the warden. Ripley rallies the inmates and proposes they pour highly flammable toxic waste, which is stored at the facility, into the ventilation system and ignite it to flush out the creature. An explosion is caused by the creature's premature intervention, resulting in several deaths. Using the medical equipment onboard the Sulaco escape pod, Ripley scans herself and discovers the embryo of an Alien Queen growing inside her. She also finds out that the Corporation truly wants the Queen embryo and the adult Alien, hoping to turn them into biological weapons. Deducing that the mature alien will not kill her because of the embryo she carries, Ripley begs Dillon (Charles S. Dutton), the religious leader of the inmates, to kill her, who agrees to do so only if she helps the inmates kill the adult creature first. They form a plan to lure it into the foundry's molding facility and drown it in molten lead by trapping it by closing a series of doors. The bait-and-chase style plan results in the death of Dillon and all the remaining prisoners, except Morse (Danny Webb), who pours the lead. The Alien, covered in molten metal, escapes the mold and is killed by Ripley when she turns on fire sprinklers and sprays the beast with water, causing its exoskeleton to cool rapidly and shatter via thermal shock.While Ripley battles the Alien, the Weyland-Yutani team arrives, including a man named Michael Bishop who looks identical to the Bishop android, claiming to be its creator. He tries to persuade Ripley to undergo surgery to remove the Queen embryo, which he claims will be destroyed. Ripley refuses and steps back onto a mobile platform, which Morse positions over the furnace. The company men shoot Morse in the leg, and Aaron picks up a large wrench and strikes Bishop over the head with it, believing him to be an android. Aaron is shot dead and Bishop and his men show their true intentions, begging Ripley to let them have the 'magnificent specimen'. Ripley defies them by throwing herself into the gigantic furnace, just as the alien Queen begins to erupt from her chest. However, as she is dying from the wound, Ripley grabs the creature and holds on to it as she falls into the fire.The film ends with a sequence showing the facility being closed down, the last surviving inmate, Morse, being led away, and a shot of the Sulaco escape pod as the sound recording of Ripley's final lines from the original Alien film is heard.Notable Actors:Charles S. Dutton as inmate Dillon, the spiritual and de facto leader amongst the prisoners.Charles Dance as Jonathan Clemens, the facility's doctor. Brian Glover as Harold Andrews, the prison warden. Ralph Brown as Aaron, the assistant of Superintendent Andrews. Danny Webb as inmate Morse. Morse is the only survivor of the entire incident.Lance Henriksen as Michael Bishop.Conclusion: 10/10. Buy and watch this superb film on your home theater.",10,2,3,15 December 2010
Captain Phillips," Tom Hanks: The Pride Of Hollywood.
","Why do people you admired in you youth grow old with the passage of time? I wish that all the actors and actresses I admired could stay young forever...Tom Hanks is a man I admired and one of my favorite Hollywood actors. He has won a special place in my heart with films like Splash(1984), Big(1988), The Burbs(1989), Turner & Hooch (1989), Joe Versus the Volcano (1990), Philadelphia(1993-Won Academy Award for Best Actor), Forrest Gump(1994-Won Academy Award for Best Actor), Apollo 13(1995), You Got Mail (1998), The Green Mile(1999), Cast Away(2000), Road to Perdition(2002), Catch Me If You Can(2002) and The Ladykillers (2004 Remake). If you are his fan, these films should be the core of your DVD collection. Back to this film. Captain Phillips is based upon the 2009 Maersk Alabama hijacking, an incident during which merchant mariner Captain Richard Phillips was taken hostage by pirates in the Indian Ocean led by Abduwali Muse. At the start of the film we see Phillips(Hanks) making last minute preparations for his departure to Oman. From there he boards the Maersk Alabama and embarks on a cargo transport route through the Gulf of Aden to Mombasa, round the Horn of Africa. Due to pirate activity off the coast of Somalia, the Phillips orders strict security precautions on the vessel and carries out practice drills.During the practice drill Phillips sights Somali pirates in two skiffs. He then plans to outrun them by giving orders to turn the engines to maximum power output - at the cost of accidental over-heating and engine shutdown. He succeeds, but the pirates do not give up. The following day they catch-up and board the Maersk Alabama.From then on, what happens is for you to find out. Rent/watch online or download/or go to the cinema when the time and price of the ticket suits your budget. The photography, atmosphere and script is brilliantly done. Paul Greengrass does a good job in the director's seat. He previously directed United 93(2006) based upon the 11 September 2001 hijacking of United Airlines Flight 93. Tom Hanks gives a very real portrayal of the terror of being kidnapped. He shows the true leadership quality of a Captain by protecting the bulk of his crew from the Pirates. In conclusion: one of the better films of 2013. And in parting might I add that the image of Tom Hanks in my memory will always be how he looked like in the film Big(1988). God bless you Tom Hanks.",10,4,6,2 February 2014
The Equalizer," There's A New Face To Justice: The Equalizer.
","Denzel Washington has been a favorite of mine since my teens. With hit movies like Philadephia, The Pelican Brief, Fallen, John Q, Virtuosity, Crimson Tide, Man On Fire, The Hurricane, Deja Vu, Training Day, American Gangster, The Book Of Eli, Inside Man, The Bone Collector, Malcolm X, Mississippi Masala, Heart Condition and Ricochet, he has won a place in the hearts of all cinema lovers. This film is an intense action thriller about a man who is trying to protect the ones he loves and fighting against evil in whatever form it may be. Be it pimps, drug-dealers, corrupt cops - the Equalizer has an answer to all.In this film Denzel plays the role of Robert McCall a retired black ops government operative who lives in Boston, Massachusetts and works at a Home Mart hardware store, where he befriends many of his co-workers and also tries to help a security guard trainee named Ralphie pass his qualification exam. McCall has promised his recently deceased wife that he'd leave his old life behind, but is compelled to act after his teenage friend Teri (Chloë Grace Moretz) whose real name is Alina, was seen being mistreated by her pimp. Alina's life was destroyed at the age of five or six when she was a victim of sex trafficking by the Russian Mafia and then became their sex slave and forced into prostitution.Robert vows to save her after she is hospitalized after being brutally beaten by her pimp, Slavi (David Meunier). McCall enters a restaurant owned by the Russian mob and tries to convince Slavi to release Alina by paying him $9800, but Slavi refuses. Find out what happens next...The film is directed by veteran director Antoine Fuqua who has directed acclaimed films like Training Day as well as The Replacement Killers, Tears of the Sun, King Arthur, Shooter, Brooklyn's Finest, Olympus Has Fallen. The good thing about him is that with each film he keeps getting better and he adapts to the style of film. Denzel Washington gives a very powerful performance as a man who is pushed to the limits and has no other option but to retaliate with extreme force. Opposite him is equally good actor Marton Paul Csokas who has starred in films like xXx, Evilenko(a must see film!), Æon Flux, and Kingdom of Heaven. Marton plays as an enforcer to the Russian crime-lord Vladimir Pushkin. The film has intense action scenes filled with graphic violence and so it is only suitable for persons over 18 years. The background music, cinematography and script is top-notch and well polished. To my belief, I did not see any plot-holes in the film - it is a solid action thriller which will become a cult-classic as one of the later films in Denzel Washington's career.",10,1,6,29 December 2014
The Expendables 2," Expenda-turds2: Turds On Elastic!
","What happens if you yank a turd on elastic? That's right... you get sh*t on your face. Same thing Sly Stallone has got on his face right now.This guy will spend every last $ in his coffer to become younger. He has tried everything from Viagra to Botox to look younger. The result is clear for all to see: stretched up eyebrows that make him look like Jack Nicholson. Every rundown has-been actor has been re-recruited + 1 new(Chuck Norris). Norris only signed on because of one condition: he made Sly Stallone remove all the bad XXX swearwords from the script. Norris is a SAINT.Only thing worth about this film is for Van Damme fans. He looks absolutely KILLER in his role. Plus also his legendary Kickboxer flying roundhouse kick. To put it short: Fight between Van Damage and Sly Stallone is the only reason to watch this film. The fight is short like Stallone's sex-time in bed (With Viagra). You could take a leak, come back, and the fights over. Van Damme could break Sly's neck-bone with that one special kick. Finito.To mention other stars: Arnold Schwarzenegger was good to see as well as Bruce Willis. They have small cameo roles and are wasted in the film. Dolph Lundgren looks absolutely disgusting. He's become a real slob. Plot of dub*ss joke of a film: Barney Ross is approached by CIA man Church, who wants him and his guns for hire to go to the former Soviet Union to retrieve something that was on a plane that crashed. Church doesn't tell him what he is getting. And Church sends a woman, Maggie with him to make sure he gets it. They find the plane and get the thing but some men take one of Barney's people hostage and the leader tells him to give him what they got or he'll kill his hostage. The give it to him but he kills his hostage anyway. Barney asks Maggie what was so important about that thing. She says that it showed the location of a Russian plutonium storage mine. Barney decides to track the man down and deal with him. They track them down and discover that the man they seek is Villain who leads a group known as The Sangs and that they have taken all the men from the surrounding villages to work the mine. Verdict: stick to The Avengers(2012), which I think is the best film of the year I have seen.",3,2,4,12 January 2013
Source Code," When you die, it's all over..... or is it???
","The concept of afterlife has fascinated man for eons. In this film after the human body expires, there is residual electrical energy in the brain and an 8 minute long short term memory record.Enter the source code: a time loop program that allows the subject to take over another deceased persons body in a reenactment of their last eight minutes of life.Full Plot: Colter Stevens, a decorated army helicopter pilot, suddenly wakes up on a train sitting across from a woman named Christina Warren (Michelle Monaghan). The woman seems to know him by the name Sean Fentress, but he doesn't seem to know her. After eight minutes, a bomb goes off on the train, and he awakens to find himself strapped inside a small geodesic dome.There, Air Force Capt. Colleen Goodwin (Vera Farmiga) explains to him through a computer screen that he is now on a mission to locate the maker of a bomb which destroyed a train headed into Chicago.Stevens has no memory of how he became involved in the Source Code project; his last memory is of flying in a recent mission in Afghanistan while taking on enemy gunfire. Stevens' mission in the Source Code is to assume the identity of Fentress, one of the train's passengers, locate the bomb, discover who detonated it, and report back to Goodwin to prevent the bomber from detonating a larger nuclear device in downtown Chicago, which could cause the deaths of millions of people. Goodwin and the Source Code's creator, Dr. Rutledge (Jeffrey Wright), tell him that the Source Code is not a simulation, but a visit into the past in the form of an alternate reality. He's told that he cannot truly alter the past to save any of the passengers, but that he must gather intel that can be used to alter the future and prevent a future attack. Goodwin assures Stevens that 'everything will be OK.' Stevens is sent into the Source Code repeatedly, and each time a series of events repeat, with variations due to Stevens' acts. Meanwhile, he goes on searching for the terrorist and getting to know Christina, until the bomb that destroys the train goes off and Fentress dies, sending Stevens back to the chamber.Even though Rutledge and Goodwin constantly direct him to focus on finding the bomber, each time around he learns more, both about the terrorist attack and his real life personal situation. Stevens resolves to complete his mission, now with the added personal goal of saving Christina and the people on the train if at all possible.Using a cellphone while on the train, Stevens eventually discovers that he supposedly died two months ago. He confronts Goodwin with this information, and learns from Goodwin and Rutledge that he had been shot down during the war, and his mutilated body was appropriated by the Air Force and used by Rutledge to operate the Source Code. Stevens then asks Rutledge and Goodwin to let him die, which they promise they will do once the mission is finished.He eventually discovers that the bomber is a disturbed American young man named Derek Frost (Michael Arden), which allows authorities to apprehend Frost and save Chicago before the second bomb is detonated.With the mission accomplished, and despite their promise, Rutledge orders Stevens' memory to be erased and stored for reuse in further missions. However, Stevens persuades Goodwin to send him in one more time and give him one last chance to avert the train disaster. Goodwin agrees that he deserves to be allowed to die in peace afterwards instead of being held alive as a military brain in a vat.With the information he has uncovered from previous trips into the Source Code, Stevens is able to defuse the bomb and immobilize Frost before he can destroy the train.Stevens and Christina kiss in the last seconds before the eight-minute mark. In that instant, Goodwin turns off his life support per his request, but to Stevens' surprise, his mind remains in Sean Fentress' body. He is then able to safely leave the train with Christina, also saving the rest of the passengers. Now in the alternate universe, an alternate version of Goodwin receives an email from Stevens explaining what has happened and that the Source Code can alter the target alternate reality. The movie ends with Stevens taking Fentress' place, and asking Goodwin to help Captain Colter Stevens and tell him that 'everything will be OK.', which Goodwin had told Stevens earlier in the film.Verdict: a thought provoking film that questions our deepest darkest fears about death. The only downside about the film is that it is too brief, and should have been longer. As the film approaches the finale, there is no real climax ending for the viewer.Similar films: The Race Against Time (2000 TV), Time After Time (1979), Deja Vu (2006), Groundhog day (1993), The Time Machine (1960, 2002 remake), Time Cop (1994), A.P.E.X. (1994), Total Recall (1990), Timescape (1992), Cube 2: Hypercube (2002) and Time Trax (1993 TV series).Add the above movies to your DVD collection and ENJOY!!!",7,4,7,16 June 2011
It," This is the second time the novel by Stephen King has been adapted.
","The first, was a miniseries made in 1990 directed by Tommy Lee Wallace and adapted by Lawrence D. Cohen. name. The name It, derives from a predatory shape-shifter which has the ability to transform itself into its prey's worst fears, allowing it to exploit the phobias of its victims. mostly takes the form of a sadistic, wisecracking clown called Pennywise.It: Chapter One stars The film stars Jaeden Lieberher and Bill Skarsgård as Bill Denbrough and Pennywise the Dancing Clown, respectively, with Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard, Wyatt Oleff, Chosen Jacobs, Jack Dylan Grazer, Nicholas Hamilton and Jackson Robert Scott in supporting roles.Plot: In October 1988, Bill Denbrough gives his seven-year-old brother, Georgie, a sailboat made from paper. Georgie takes the boat out onto the street and is unable to stop it from sailing down the storm drain. In the storm drain, he finds a figure dressed as a clown who introduces himself as 'Pennywise the Dancing Clown.' The clown severs Georgie's arm when Georgie reaches into the drain for his boat, then drags him into the sewer.Eight months later, in June 1989, Denbrough and his friends Richie Tozier, Eddie Kaspbrak and Stanley Uris run afoul of bully Henry Bowers and his gang. Denbrough, still haunted by Georgie's disappearance and the resulting neglect from his grief-stricken parents, discovers that his brother's body may have washed up in a marshy wasteland called the Barrens. He recruits his friends to check it out, believing his brother may still be alive...Verdict: the film heavily relies on its special-effects that are superior to the 1990 miniseries because of the great advances made in CGI and computer-technology as a whole. The cast of the film is adequate but not outstanding. Indeed if one thinks about it, the 1990 miniseries had a very good cast and altogether a better film, even though the special effects cannot be matched by this new remake. Tim Curry played Pennywise in the first adaptation, here he is replaced with Bill Skarsgård, the son of the veteran actor Stellan Skarsgård.The special-effects rely heavily on the shape-shifting aspect of Pennywise. There are some strong scenes present in the film mainly dealing with bullying and child-abuse. Other than that there is nothing worth mentioning about the film. You may also like these horror movies: Killer Klowns from Outer Space(1988), Sleepwalkers(1992),Let Me In(2010), Clown(2014), The Babadook(2014). Thank you for reading this review, may you live long and prosper.",5,2,8,18 September 2017
John Wick," Overrated - The Equalizer(2014) is a much better film than this one.
","Trust me. I have seen better revenge flicks than this one. Just to name a few: Charles Bronson's Death Wish(5 films in all), Death Sentence, Oldboy, Hard Boiled(John Woo), Leon: The Professional, Mission Impossible Part 1, Kickboxer, I Saw The Devil, The Fugitive, A Grande Arte(a.k.a. Exposure), Virtuosity, Rambo Trilogy, Die-hard Trilogy, Alien Quadrilogy, Tremors(Kevin Bacon), Sergio Leone's spaghetti western trilogy: A Fistful Of Dollars, For A Few Dollars More, The Good The Bad And The Ugly. Revenge is a common plot devise in most action-thrillers. In this film an ex-hit-man called John Wick(Keanu Reeves) vows vengeance upon the man who murders the puppy which was bequeathed to him by his late wife. John will not rest until he kills him. This man is the son of Viggo Tarasov(Michael Nyqvist), head of the Russian crime syndicate in New York and John's former employer. Viggo immediately puts a bounty on John's head and hopes that he will be killed before he ever manages to get close to his son. He also employs Marcus(Willem Dafoe), member of the old guard of assassins to kill John Wick for a fee of two million dollars. The action scenes in the film are pretty standard. I rather liked the scenes in The Equalizer than this film. Antoine Fuqua is much better action director than Chad Stahelski. I personally feel that John Woo would have been a better first choice director. Other candidates would be Luc Besson, Michael Mann, David Fincher, John Mctiernan, James Cameron. The late George P. Cosmatos was an awesome action film director as well will films like Rambo 2, Cobra, Of Unknown Origin, Leviathan, Shadow Conspiracy and Tombstone. The casting is okay, but not as effective as to linger in one's memories. This is not a film I'd watch twice in my life. Maybe the plot itself was too predictable and shallow, the acting feeling-less and the background score not that effective.The only good actor in the film is by far Michael Nyqvist who plays Viggo. His acting is a notch above that of Keanu Reeves. John Leguizamo, a great favorite of mine has a very small part in the film. He does well with the meager lines he has to say in the film. The most wasted actor in the film is Willem Dafoe. He fails to make an impact upon the film, and his character development was poor.I have seen many good Keanu Reeves films: Speed, The Matrix Trilogy, Johnny Mnemonic, Little Buddha (1993 - a must see film). This film will be among the ones which I would not care to see again.",4,6,24,16 January 2015
